,player,session,date,score,filled
39,Player 1,Agility,2022-02-25,7.0,Not Filled
40,Player 1,Agility,2022-02-28,7.0,Filled
41,Player 1,Agility,2022-03-01,4.0,Not Filled
42,Player 1,Agility,2022-03-02,10.0,Not Filled
43,Player 1,Agility,2022-03-03,10.0,Filled
44,Player 1,Agility,2022-03-04,3.0,Not Filled
45,Player 1,Agility,2022-03-07,5.0,Not Filled
46,Player 1,Agility,2022-03-08,9.0,Not Filled
47,Player 1,Agility,2022-03-09,9.0,Not Filled
48,Player 1,Agility,2022-03-10,3.0,Not Filled
49,Player 1,Agility,2022-03-11,3.0,Filled
50,Player 1,Agility,2022-03-14,9.0,Not Filled
51,Player 1,Agility,2022-03-15,9.0,Not Filled
52,Player 1,Agility,2022-03-16,8.0,Not Filled
53,Player 1,Agility,2022-03-17,8.0,Filled
54,Player 1,Agility,2022-03-18,8.0,Not Filled
55,Player 1,Agility,2022-03-21,8.0,Not Filled
56,Player 1,Agility,2022-03-22,6.0,Not Filled
57,Player 1,Agility,2022-03-23,8.0,Not Filled
58,Player 1,Agility,2022-03-24,4.0,Not Filled
59,Player 1,Agility,2022-03-25,4.0,Filled
60,Player 1,Agility,2022-03-28,6.0,Not Filled
61,Player 1,Agility,2022-03-29,6.0,Filled
62,Player 1,Agility,2022-03-30,3.0,Not Filled
63,Player 1,Agility,2022-03-31,7.0,Not Filled
64,Player 1,Agility,2022-04-01,7.0,Filled
65,Player 1,Agility,2022-04-04,6.0,Not Filled
66,Player 1,Agility,2022-04-05,7.0,Not Filled
67,Player 1,Agility,2022-04-06,4.0,Not Filled
68,Player 1,Agility,2022-04-07,4.0,Filled
69,Player 1,Agility,2022-04-08,8.0,Not Filled
70,Player 1,Agility,2022-04-11,8.0,Filled
71,Player 1,Agility,2022-04-12,8.0,Filled
72,Player 1,Agility,2022-04-13,8.0,Filled
73,Player 1,Agility,2022-04-14,7.0,Not Filled
74,Player 1,Agility,2022-04-15,4.0,Not Filled
75,Player 1,Agility,2022-04-18,7.0,Not Filled
76,Player 1,Agility,2022-04-19,6.0,Not Filled
77,Player 1,Agility,2022-04-20,8.0,Not Filled
78,Player 1,Agility,2022-04-21,8.0,Filled
79,Player 1,Agility,2022-04-22,10.0,Not Filled
80,Player 1,Agility,2022-04-25,10.0,Filled
81,Player 1,Agility,2022-04-26,8.0,Not Filled
82,Player 1,Agility,2022-04-27,9.0,Not Filled
83,Player 1,Agility,2022-04-28,4.0,Not Filled
84,Player 1,Agility,2022-04-29,4.0,Not Filled
85,Player 1,Agility,2022-05-02,4.0,Filled
86,Player 1,Agility,2022-05-03,4.0,Filled
87,Player 1,Agility,2022-05-04,4.0,Filled
88,Player 1,Agility,2022-05-05,4.0,Filled
89,Player 1,Agility,2022-05-06,8.0,Not Filled
90,Player 1,Agility,2022-05-09,3.0,Not Filled
91,Player 1,Agility,2022-05-10,9.0,Not Filled
92,Player 1,Agility,2022-05-11,9.0,Filled
93,Player 1,Agility,2022-05-12,9.0,Filled
94,Player 1,Agility,2022-05-13,3.0,Not Filled
95,Player 1,Agility,2022-05-16,6.0,Not Filled
96,Player 1,Agility,2022-05-17,6.0,Filled
97,Player 1,Agility,2022-05-18,6.0,Filled
98,Player 1,Agility,2022-05-19,4.0,Not Filled
99,Player 1,Agility,2022-05-20,4.0,Filled
100,Player 1,Agility,2022-05-23,9.0,Not Filled
101,Player 1,Agility,2022-05-24,9.0,Filled
102,Player 1,Agility,2022-05-25,3.0,Not Filled
103,Player 1,Agility,2022-05-26,8.0,Not Filled
104,Player 1,Agility,2022-05-27,8.0,Filled
105,Player 1,Agility,2022-05-30,5.0,Not Filled
106,Player 1,Agility,2022-05-31,7.0,Not Filled
107,Player 1,Agility,2022-06-01,8.0,Not Filled
108,Player 1,Agility,2022-06-02,10.0,Not Filled
109,Player 1,Agility,2022-06-03,10.0,Filled
110,Player 1,Agility,2022-06-06,8.0,Not Filled
111,Player 1,Agility,2022-06-07,8.0,Not Filled
112,Player 1,Agility,2022-06-08,3.0,Not Filled
113,Player 1,Agility,2022-06-09,5.0,Not Filled
114,Player 1,Agility,2022-06-10,9.0,Not Filled
115,Player 1,Agility,2022-06-13,9.0,Filled
116,Player 1,Agility,2022-06-14,9.0,Filled
117,Player 1,Agility,2022-06-15,9.0,Filled
118,Player 1,Agility,2022-06-16,7.0,Not Filled
119,Player 1,Agility,2022-06-17,5.0,Not Filled
120,Player 1,Agility,2022-06-20,8.0,Not Filled
121,Player 1,Agility,2022-06-21,9.0,Not Filled
122,Player 1,Agility,2022-06-22,7.0,Not Filled
123,Player 1,Agility,2022-06-23,7.0,Filled
124,Player 1,Agility,2022-06-24,4.0,Not Filled
125,Player 1,Agility,2022-06-27,7.0,Not Filled
126,Player 1,Agility,2022-06-28,7.0,Filled
127,Player 1,Agility,2022-06-29,7.0,Filled
128,Player 1,Agility,2022-06-30,4.0,Not Filled
129,Player 1,Agility,2022-07-01,9.0,Not Filled
130,Player 1,Agility,2022-07-04,6.0,Not Filled
131,Player 1,Agility,2022-07-05,6.0,Filled
132,Player 1,Agility,2022-07-06,6.0,Filled
133,Player 1,Agility,2022-07-07,5.0,Not Filled
134,Player 1,Agility,2022-07-08,5.0,Filled
135,Player 1,Agility,2022-07-11,9.0,Not Filled
136,Player 1,Agility,2022-07-12,6.0,Not Filled
137,Player 1,Agility,2022-07-13,6.0,Filled
138,Player 1,Agility,2022-07-14,8.0,Not Filled
139,Player 1,Agility,2022-07-15,10.0,Not Filled
140,Player 1,Agility,2022-07-18,8.0,Not Filled
141,Player 1,Agility,2022-07-19,8.0,Filled
142,Player 1,Agility,2022-07-20,10.0,Not Filled
143,Player 1,Agility,2022-07-21,7.0,Not Filled
144,Player 1,Agility,2022-07-22,7.0,Filled
145,Player 1,Agility,2022-07-25,10.0,Not Filled
146,Player 1,Agility,2022-07-26,6.0,Not Filled
147,Player 1,Agility,2022-07-27,8.0,Not Filled
148,Player 1,Agility,2022-07-28,5.0,Not Filled
149,Player 1,Agility,2022-07-29,6.0,Not Filled
150,Player 1,Cardio,2022-01-03,3.0,Not Filled
151,Player 1,Cardio,2022-01-04,10.0,Not Filled
152,Player 1,Cardio,2022-01-05,10.0,Filled
153,Player 1,Cardio,2022-01-06,10.0,Not Filled
154,Player 1,Cardio,2022-01-07,7.0,Not Filled
155,Player 1,Cardio,2022-01-10,3.0,Not Filled
156,Player 1,Cardio,2022-01-11,7.0,Not Filled
157,Player 1,Cardio,2022-01-12,7.0,Filled
158,Player 1,Cardio,2022-01-13,7.0,Filled
159,Player 1,Cardio,2022-01-14,7.0,Filled
160,Player 1,Cardio,2022-01-17,8.0,Not Filled
161,Player 1,Cardio,2022-01-18,8.0,Not Filled
162,Player 1,Cardio,2022-01-19,8.0,Filled
163,Player 1,Cardio,2022-01-20,6.0,Not Filled
164,Player 1,Cardio,2022-01-21,6.0,Filled
165,Player 1,Cardio,2022-01-24,3.0,Not Filled
166,Player 1,Cardio,2022-01-25,3.0,Filled
167,Player 1,Cardio,2022-01-26,4.0,Not Filled
168,Player 1,Cardio,2022-01-27,4.0,Filled
169,Player 1,Cardio,2022-01-28,4.0,Filled
170,Player 1,Cardio,2022-01-31,8.0,Not Filled
171,Player 1,Cardio,2022-02-01,8.0,Filled
172,Player 1,Cardio,2022-02-02,6.0,Not Filled
173,Player 1,Cardio,2022-02-03,10.0,Not Filled
174,Player 1,Cardio,2022-02-04,8.0,Not Filled
175,Player 1,Cardio,2022-02-07,8.0,Filled
176,Player 1,Cardio,2022-02-08,8.0,Filled
177,Player 1,Cardio,2022-02-09,7.0,Not Filled
178,Player 1,Cardio,2022-02-10,9.0,Not Filled
179,Player 1,Cardio,2022-02-11,9.0,Not Filled
180,Player 1,Cardio,2022-02-14,7.0,Not Filled
181,Player 1,Cardio,2022-02-15,8.0,Not Filled
182,Player 1,Cardio,2022-02-16,8.0,Filled
183,Player 1,Cardio,2022-02-17,8.0,Not Filled
184,Player 1,Cardio,2022-02-18,10.0,Not Filled
185,Player 1,Cardio,2022-02-21,6.0,Not Filled
186,Player 1,Cardio,2022-02-22,6.0,Filled
187,Player 1,Cardio,2022-02-23,9.0,Not Filled
188,Player 1,Cardio,2022-02-24,5.0,Not Filled
189,Player 1,Cardio,2022-02-25,3.0,Not Filled
190,Player 1,Cardio,2022-02-28,3.0,Filled
191,Player 1,Cardio,2022-03-01,5.0,Not Filled
192,Player 1,Cardio,2022-03-02,5.0,Filled
193,Player 1,Cardio,2022-03-03,3.0,Not Filled
194,Player 1,Cardio,2022-03-04,3.0,Filled
195,Player 1,Cardio,2022-03-07,3.0,Filled
196,Player 1,Cardio,2022-03-08,3.0,Filled
197,Player 1,Cardio,2022-03-09,8.0,Not Filled
198,Player 1,Cardio,2022-03-10,8.0,Filled
199,Player 1,Cardio,2022-03-11,9.0,Not Filled
200,Player 1,Cardio,2022-03-14,9.0,Filled
201,Player 1,Cardio,2022-03-15,5.0,Not Filled
202,Player 1,Cardio,2022-03-16,5.0,Filled
203,Player 1,Cardio,2022-03-17,9.0,Not Filled
204,Player 1,Cardio,2022-03-18,10.0,Not Filled
205,Player 1,Cardio,2022-03-21,3.0,Not Filled
206,Player 1,Cardio,2022-03-22,3.0,Filled
207,Player 1,Cardio,2022-03-23,3.0,Filled
208,Player 1,Cardio,2022-03-24,3.0,Filled
209,Player 1,Cardio,2022-03-25,3.0,Filled
210,Player 1,Cardio,2022-03-28,5.0,Not Filled
211,Player 1,Cardio,2022-03-29,8.0,Not Filled
212,Player 1,Cardio,2022-03-30,3.0,Not Filled
213,Player 1,Cardio,2022-03-31,6.0,Not Filled
214,Player 1,Cardio,2022-04-01,7.0,Not Filled
215,Player 1,Cardio,2022-04-04,8.0,Not Filled
216,Player 1,Cardio,2022-04-05,4.0,Not Filled
217,Player 1,Cardio,2022-04-06,9.0,Not Filled
218,Player 1,Cardio,2022-04-07,10.0,Not Filled
219,Player 1,Cardio,2022-04-08,5.0,Not Filled
220,Player 1,Cardio,2022-04-11,5.0,Filled
221,Player 1,Cardio,2022-04-12,5.0,Filled
222,Player 1,Cardio,2022-04-13,5.0,Filled
223,Player 1,Cardio,2022-04-14,5.0,Filled
224,Player 1,Cardio,2022-04-15,3.0,Not Filled
225,Player 1,Cardio,2022-04-18,3.0,Not Filled
226,Player 1,Cardio,2022-04-19,3.0,Filled
227,Player 1,Cardio,2022-04-20,6.0,Not Filled
228,Player 1,Cardio,2022-04-21,6.0,Not Filled
229,Player 1,Cardio,2022-04-22,3.0,Not Filled
230,Player 1,Cardio,2022-04-25,4.0,Not Filled
231,Player 1,Cardio,2022-04-26,4.0,Filled
232,Player 1,Cardio,2022-04-27,4.0,Filled
233,Player 1,Cardio,2022-04-28,4.0,Filled
234,Player 1,Cardio,2022-04-29,9.0,Not Filled
235,Player 1,Cardio,2022-05-02,9.0,Filled
236,Player 1,Cardio,2022-05-03,6.0,Not Filled
237,Player 1,Cardio,2022-05-04,6.0,Filled
238,Player 1,Cardio,2022-05-05,6.0,Filled
239,Player 1,Cardio,2022-05-06,7.0,Not Filled
240,Player 1,Cardio,2022-05-09,7.0,Not Filled
241,Player 1,Cardio,2022-05-10,7.0,Filled
242,Player 1,Cardio,2022-05-11,7.0,Filled
243,Player 1,Cardio,2022-05-12,8.0,Not Filled
244,Player 1,Cardio,2022-05-13,9.0,Not Filled
245,Player 1,Cardio,2022-05-16,10.0,Not Filled
246,Player 1,Cardio,2022-05-17,3.0,Not Filled
247,Player 1,Cardio,2022-05-18,3.0,Filled
248,Player 1,Cardio,2022-05-19,3.0,Filled
249,Player 1,Cardio,2022-05-20,4.0,Not Filled
250,Player 1,Cardio,2022-05-23,9.0,Not Filled
251,Player 1,Cardio,2022-05-24,7.0,Not Filled
252,Player 1,Cardio,2022-05-25,7.0,Filled
253,Player 1,Cardio,2022-05-26,8.0,Not Filled
254,Player 1,Cardio,2022-05-27,8.0,Filled
255,Player 1,Cardio,2022-05-30,8.0,Filled
256,Player 1,Cardio,2022-05-31,10.0,Not Filled
257,Player 1,Cardio,2022-06-01,3.0,Not Filled
258,Player 1,Cardio,2022-06-02,6.0,Not Filled
259,Player 1,Cardio,2022-06-03,3.0,Not Filled
260,Player 1,Cardio,2022-06-06,6.0,Not Filled
261,Player 1,Cardio,2022-06-07,4.0,Not Filled
262,Player 1,Cardio,2022-06-08,10.0,Not Filled
263,Player 1,Cardio,2022-06-09,4.0,Not Filled
264,Player 1,Cardio,2022-06-10,4.0,Filled
265,Player 1,Cardio,2022-06-13,9.0,Not Filled
266,Player 1,Cardio,2022-06-14,6.0,Not Filled
267,Player 1,Cardio,2022-06-15,6.0,Filled
268,Player 1,Cardio,2022-06-16,6.0,Filled
269,Player 1,Cardio,2022-06-17,6.0,Filled
270,Player 1,Cardio,2022-06-20,6.0,Filled
271,Player 1,Cardio,2022-06-21,7.0,Not Filled
272,Player 1,Cardio,2022-06-22,4.0,Not Filled
273,Player 1,Cardio,2022-06-23,10.0,Not Filled
274,Player 1,Cardio,2022-06-24,6.0,Not Filled
275,Player 1,Cardio,2022-06-27,7.0,Not Filled
276,Player 1,Cardio,2022-06-28,9.0,Not Filled
277,Player 1,Cardio,2022-06-29,8.0,Not Filled
278,Player 1,Cardio,2022-06-30,8.0,Filled
279,Player 1,Cardio,2022-07-01,6.0,Not Filled
280,Player 1,Cardio,2022-07-04,6.0,Filled
281,Player 1,Cardio,2022-07-05,8.0,Not Filled
282,Player 1,Cardio,2022-07-06,8.0,Not Filled
283,Player 1,Cardio,2022-07-07,8.0,Filled
284,Player 1,Cardio,2022-07-08,10.0,Not Filled
285,Player 1,Cardio,2022-07-11,5.0,Not Filled
286,Player 1,Cardio,2022-07-12,5.0,Filled
287,Player 1,Cardio,2022-07-13,9.0,Not Filled
288,Player 1,Cardio,2022-07-14,7.0,Not Filled
289,Player 1,Cardio,2022-07-15,7.0,Filled
290,Player 1,Cardio,2022-07-18,3.0,Not Filled
291,Player 1,Cardio,2022-07-19,8.0,Not Filled
292,Player 1,Cardio,2022-07-20,6.0,Not Filled
293,Player 1,Cardio,2022-07-21,9.0,Not Filled
294,Player 1,Cardio,2022-07-22,8.0,Not Filled
295,Player 1,Cardio,2022-07-25,8.0,Not Filled
296,Player 1,Cardio,2022-07-26,8.0,Filled
297,Player 1,Cardio,2022-07-27,8.0,Filled
298,Player 1,Cardio,2022-07-28,6.0,Not Filled
299,Player 1,Cardio,2022-07-29,6.0,Filled
300,Player 1,Strength Building,2022-01-03,10.0,Not Filled
301,Player 1,Strength Building,2022-01-04,10.0,Filled
302,Player 1,Strength Building,2022-01-05,5.0,Not Filled
303,Player 1,Strength Building,2022-01-06,10.0,Not Filled
304,Player 1,Strength Building,2022-01-07,5.0,Not Filled
305,Player 1,Strength Building,2022-01-10,6.0,Not Filled
306,Player 1,Strength Building,2022-01-11,4.0,Not Filled
307,Player 1,Strength Building,2022-01-12,4.0,Filled
308,Player 1,Strength Building,2022-01-13,4.0,Filled
309,Player 1,Strength Building,2022-01-14,4.0,Filled
310,Player 1,Strength Building,2022-01-17,9.0,Not Filled
311,Player 1,Strength Building,2022-01-18,10.0,Not Filled
312,Player 1,Strength Building,2022-01-19,10.0,Filled
313,Player 1,Strength Building,2022-01-20,5.0,Not Filled
314,Player 1,Strength Building,2022-01-21,5.0,Filled
315,Player 1,Strength Building,2022-01-24,5.0,Filled
316,Player 1,Strength Building,2022-01-25,6.0,Not Filled
317,Player 1,Strength Building,2022-01-26,10.0,Not Filled
318,Player 1,Strength Building,2022-01-27,10.0,Not Filled
319,Player 1,Strength Building,2022-01-28,3.0,Not Filled
320,Player 1,Strength Building,2022-01-31,9.0,Not Filled
321,Player 1,Strength Building,2022-02-01,8.0,Not Filled
322,Player 1,Strength Building,2022-02-02,8.0,Not Filled
323,Player 1,Strength Building,2022-02-03,10.0,Not Filled
324,Player 1,Strength Building,2022-02-04,6.0,Not Filled
325,Player 1,Strength Building,2022-02-07,6.0,Filled
326,Player 1,Strength Building,2022-02-08,6.0,Filled
327,Player 1,Strength Building,2022-02-09,6.0,Filled
328,Player 1,Strength Building,2022-02-10,5.0,Not Filled
329,Player 1,Strength Building,2022-02-11,5.0,Filled
330,Player 1,Strength Building,2022-02-14,5.0,Not Filled
331,Player 1,Strength Building,2022-02-15,8.0,Not Filled
332,Player 1,Strength Building,2022-02-16,8.0,Not Filled
333,Player 1,Strength Building,2022-02-17,5.0,Not Filled
334,Player 1,Strength Building,2022-02-18,5.0,Filled
335,Player 1,Strength Building,2022-02-21,3.0,Not Filled
336,Player 1,Strength Building,2022-02-22,8.0,Not Filled
337,Player 1,Strength Building,2022-02-23,8.0,Filled
338,Player 1,Strength Building,2022-02-24,8.0,Filled
339,Player 1,Strength Building,2022-02-25,6.0,Not Filled
340,Player 1,Strength Building,2022-02-28,4.0,Not Filled
341,Player 1,Strength Building,2022-03-01,4.0,Filled
342,Player 1,Strength Building,2022-03-02,4.0,Filled
343,Player 1,Strength Building,2022-03-03,10.0,Not Filled
344,Player 1,Strength Building,2022-03-04,10.0,Filled
345,Player 1,Strength Building,2022-03-07,6.0,Not Filled
346,Player 1,Strength Building,2022-03-08,8.0,Not Filled
347,Player 1,Strength Building,2022-03-09,3.0,Not Filled
348,Player 1,Strength Building,2022-03-10,9.0,Not Filled
349,Player 1,Strength Building,2022-03-11,9.0,Filled
350,Player 1,Strength Building,2022-03-14,7.0,Not Filled
351,Player 1,Strength Building,2022-03-15,7.0,Filled
352,Player 1,Strength Building,2022-03-16,10.0,Not Filled
353,Player 1,Strength Building,2022-03-17,10.0,Not Filled
354,Player 1,Strength Building,2022-03-18,9.0,Not Filled
355,Player 1,Strength Building,2022-03-21,5.0,Not Filled
356,Player 1,Strength Building,2022-03-22,10.0,Not Filled
357,Player 1,Strength Building,2022-03-23,10.0,Filled
358,Player 1,Strength Building,2022-03-24,10.0,Not Filled
359,Player 1,Strength Building,2022-03-25,5.0,Not Filled
360,Player 1,Strength Building,2022-03-28,9.0,Not Filled
361,Player 1,Strength Building,2022-03-29,9.0,Not Filled
362,Player 1,Strength Building,2022-03-30,6.0,Not Filled
363,Player 1,Strength Building,2022-03-31,6.0,Filled
364,Player 1,Strength Building,2022-04-01,7.0,Not Filled
365,Player 1,Strength Building,2022-04-04,8.0,Not Filled
366,Player 1,Strength Building,2022-04-05,8.0,Not Filled
367,Player 1,Strength Building,2022-04-06,4.0,Not Filled
368,Player 1,Strength Building,2022-04-07,4.0,Not Filled
369,Player 1,Strength Building,2022-04-08,7.0,Not Filled
370,Player 1,Strength Building,2022-04-11,7.0,Filled
371,Player 1,Strength Building,2022-04-12,7.0,Filled
372,Player 1,Strength Building,2022-04-13,7.0,Filled
373,Player 1,Strength Building,2022-04-14,7.0,Filled
374,Player 1,Strength Building,2022-04-15,7.0,Filled
375,Player 1,Strength Building,2022-04-18,7.0,Filled
376,Player 1,Strength Building,2022-04-19,7.0,Filled
377,Player 1,Strength Building,2022-04-20,7.0,Not Filled
378,Player 1,Strength Building,2022-04-21,8.0,Not Filled
379,Player 1,Strength Building,2022-04-22,8.0,Filled
380,Player 1,Strength Building,2022-04-25,7.0,Not Filled
381,Player 1,Strength Building,2022-04-26,5.0,Not Filled
382,Player 1,Strength Building,2022-04-27,5.0,Filled
383,Player 1,Strength Building,2022-04-28,7.0,Not Filled
384,Player 1,Strength Building,2022-04-29,10.0,Not Filled
385,Player 1,Strength Building,2022-05-02,10.0,Filled
386,Player 1,Strength Building,2022-05-03,10.0,Not Filled
387,Player 1,Strength Building,2022-05-04,10.0,Not Filled
388,Player 1,Strength Building,2022-05-05,7.0,Not Filled
389,Player 1,Strength Building,2022-05-06,3.0,Not Filled
390,Player 1,Strength Building,2022-05-09,4.0,Not Filled
391,Player 1,Strength Building,2022-05-10,7.0,Not Filled
392,Player 1,Strength Building,2022-05-11,7.0,Filled
393,Player 1,Strength Building,2022-05-12,7.0,Not Filled
394,Player 1,Strength Building,2022-05-13,9.0,Not Filled
395,Player 1,Strength Building,2022-05-16,9.0,Filled
396,Player 1,Strength Building,2022-05-17,6.0,Not Filled
397,Player 1,Strength Building,2022-05-18,7.0,Not Filled
398,Player 1,Strength Building,2022-05-19,7.0,Not Filled
399,Player 1,Strength Building,2022-05-20,4.0,Not Filled
400,Player 1,Strength Building,2022-05-23,7.0,Not Filled
401,Player 1,Strength Building,2022-05-24,5.0,Not Filled
402,Player 1,Strength Building,2022-05-25,5.0,Filled
403,Player 1,Strength Building,2022-05-26,5.0,Filled
404,Player 1,Strength Building,2022-05-27,10.0,Not Filled
405,Player 1,Strength Building,2022-05-30,10.0,Not Filled
406,Player 1,Strength Building,2022-05-31,10.0,Filled
407,Player 1,Strength Building,2022-06-01,10.0,Filled
408,Player 1,Strength Building,2022-06-02,10.0,Filled
409,Player 1,Strength Building,2022-06-03,10.0,Filled
410,Player 1,Strength Building,2022-06-06,6.0,Not Filled
411,Player 1,Strength Building,2022-06-07,6.0,Filled
412,Player 1,Strength Building,2022-06-08,6.0,Filled
413,Player 1,Strength Building,2022-06-09,4.0,Not Filled
414,Player 1,Strength Building,2022-06-10,8.0,Not Filled
415,Player 1,Strength Building,2022-06-13,7.0,Not Filled
416,Player 1,Strength Building,2022-06-14,8.0,Not Filled
417,Player 1,Strength Building,2022-06-15,8.0,Filled
418,Player 1,Strength Building,2022-06-16,3.0,Not Filled
419,Player 1,Strength Building,2022-06-17,3.0,Filled
420,Player 1,Strength Building,2022-06-20,10.0,Not Filled
421,Player 1,Strength Building,2022-06-21,5.0,Not Filled
422,Player 1,Strength Building,2022-06-22,8.0,Not Filled
423,Player 1,Strength Building,2022-06-23,8.0,Filled
424,Player 1,Strength Building,2022-06-24,4.0,Not Filled
425,Player 1,Strength Building,2022-06-27,4.0,Filled
426,Player 1,Strength Building,2022-06-28,7.0,Not Filled
427,Player 1,Strength Building,2022-06-29,6.0,Not Filled
428,Player 1,Strength Building,2022-06-30,6.0,Filled
429,Player 1,Strength Building,2022-07-01,10.0,Not Filled
430,Player 1,Strength Building,2022-07-04,10.0,Filled
431,Player 1,Strength Building,2022-07-05,10.0,Filled
432,Player 1,Strength Building,2022-07-06,6.0,Not Filled
433,Player 1,Strength Building,2022-07-07,6.0,Filled
434,Player 1,Strength Building,2022-07-08,6.0,Not Filled
435,Player 1,Strength Building,2022-07-11,8.0,Not Filled
436,Player 1,Strength Building,2022-07-12,8.0,Filled
437,Player 1,Strength Building,2022-07-13,6.0,Not Filled
438,Player 1,Strength Building,2022-07-14,8.0,Not Filled
439,Player 1,Strength Building,2022-07-15,8.0,Filled
440,Player 1,Strength Building,2022-07-18,10.0,Not Filled
441,Player 1,Strength Building,2022-07-19,10.0,Filled
442,Player 1,Strength Building,2022-07-20,8.0,Not Filled
443,Player 1,Strength Building,2022-07-21,5.0,Not Filled
444,Player 1,Strength Building,2022-07-22,3.0,Not Filled
445,Player 1,Strength Building,2022-07-25,8.0,Not Filled
446,Player 1,Strength Building,2022-07-26,7.0,Not Filled
447,Player 1,Strength Building,2022-07-27,8.0,Not Filled
448,Player 1,Strength Building,2022-07-28,6.0,Not Filled
449,Player 1,Strength Building,2022-07-29,5.0,Not Filled
450,Player 10,Agility,2022-01-03,9.0,Not Filled
451,Player 10,Agility,2022-01-04,7.0,Not Filled
452,Player 10,Agility,2022-01-05,7.0,Filled
453,Player 10,Agility,2022-01-06,4.0,Not Filled
454,Player 10,Agility,2022-01-07,5.0,Not Filled
455,Player 10,Agility,2022-01-10,6.0,Not Filled
456,Player 10,Agility,2022-01-11,6.0,Filled
457,Player 10,Agility,2022-01-12,6.0,Filled
458,Player 10,Agility,2022-01-13,6.0,Filled
459,Player 10,Agility,2022-01-14,6.0,Filled
460,Player 10,Agility,2022-01-17,4.0,Not Filled
461,Player 10,Agility,2022-01-18,10.0,Not Filled
462,Player 10,Agility,2022-01-19,9.0,Not Filled
463,Player 10,Agility,2022-01-20,9.0,Filled
464,Player 10,Agility,2022-01-21,9.0,Filled
465,Player 10,Agility,2022-01-24,7.0,Not Filled
466,Player 10,Agility,2022-01-25,7.0,Filled
467,Player 10,Agility,2022-01-26,6.0,Not Filled
468,Player 10,Agility,2022-01-27,6.0,Filled
469,Player 10,Agility,2022-01-28,7.0,Not Filled
470,Player 10,Agility,2022-01-31,7.0,Filled
471,Player 10,Agility,2022-02-01,9.0,Not Filled
472,Player 10,Agility,2022-02-02,8.0,Not Filled
473,Player 10,Agility,2022-02-03,8.0,Filled
474,Player 10,Agility,2022-02-04,8.0,Filled
475,Player 10,Agility,2022-02-07,8.0,Filled
476,Player 10,Agility,2022-02-08,9.0,Not Filled
477,Player 10,Agility,2022-02-09,9.0,Filled
478,Player 10,Agility,2022-02-10,9.0,Not Filled
479,Player 10,Agility,2022-02-11,3.0,Not Filled
480,Player 10,Agility,2022-02-14,3.0,Filled
481,Player 10,Agility,2022-02-15,4.0,Not Filled
482,Player 10,Agility,2022-02-16,4.0,Filled
483,Player 10,Agility,2022-02-17,8.0,Not Filled
484,Player 10,Agility,2022-02-18,8.0,Filled
485,Player 10,Agility,2022-02-21,8.0,Filled
486,Player 10,Agility,2022-02-22,3.0,Not Filled
487,Player 10,Agility,2022-02-23,3.0,Filled
488,Player 10,Agility,2022-02-24,8.0,Not Filled
489,Player 10,Agility,2022-02-25,4.0,Not Filled
490,Player 10,Agility,2022-02-28,4.0,Filled
491,Player 10,Agility,2022-03-01,10.0,Not Filled
492,Player 10,Agility,2022-03-02,10.0,Filled
493,Player 10,Agility,2022-03-03,7.0,Not Filled
494,Player 10,Agility,2022-03-04,7.0,Not Filled
495,Player 10,Agility,2022-03-07,5.0,Not Filled
