,Flag,Session Date,Player,Session,Score
124,Carried over,2022-01-25,Player 15,Agility,7
125,Carried over,2022-01-24,Player 15,Agility,7
126,Carried over,2022-01-21,Player 15,Agility,7
127,Actual,2022-01-20,Player 15,Agility,7
128,Actual,2022-01-27,Player 15,Agility,3
129,Actual,2022-01-28,Player 15,Agility,7
130,Actual,2022-01-31,Player 15,Agility,4
131,Carried over,2022-02-03,Player 15,Agility,4
132,Carried over,2022-02-02,Player 15,Agility,4
133,Actual,2022-02-01,Player 15,Agility,4
134,Carried over,2022-02-07,Player 15,Agility,10
135,Actual,2022-02-04,Player 15,Agility,10
136,Actual,2022-02-08,Player 15,Agility,7
137,Actual,2022-02-09,Player 15,Agility,10
138,Actual,2022-02-10,Player 15,Agility,10
139,Actual,2022-02-11,Player 15,Agility,10
140,Actual,2022-02-14,Player 15,Agility,6
141,Actual,2022-02-15,Player 15,Agility,9
142,Actual,2022-02-16,Player 15,Agility,3
143,Actual,2022-02-17,Player 15,Agility,9
144,Actual,2022-02-18,Player 15,Agility,8
145,Carried over,2022-02-22,Player 15,Agility,9
146,Actual,2022-02-21,Player 15,Agility,9
147,Actual,2022-02-23,Player 15,Agility,9
148,Actual,2022-02-24,Player 15,Agility,6
149,Carried over,2022-02-28,Player 15,Agility,4
150,Actual,2022-02-25,Player 15,Agility,4
151,Actual,2022-03-01,Player 15,Agility,8
152,Carried over,2022-03-03,Player 15,Agility,8
153,Actual,2022-03-02,Player 15,Agility,8
154,Actual,2022-03-04,Player 15,Agility,10
155,Carried over,2022-03-08,Player 15,Agility,4
156,Actual,2022-03-07,Player 15,Agility,4
157,Actual,2022-03-09,Player 15,Agility,4
158,Carried over,2022-03-11,Player 15,Agility,7
159,Actual,2022-03-10,Player 15,Agility,7
160,Carried over,2022-03-15,Player 15,Agility,9
161,Actual,2022-03-14,Player 15,Agility,9
162,Actual,2022-03-16,Player 15,Agility,7
163,Actual,2022-03-17,Player 15,Agility,6
164,Actual,2022-03-18,Player 15,Agility,10
165,Actual,2022-03-21,Player 15,Agility,5
166,Actual,2022-03-22,Player 15,Agility,10
167,Carried over,2022-03-24,Player 15,Agility,8
168,Actual,2022-03-23,Player 15,Agility,8
169,Actual,2022-03-25,Player 15,Agility,9
170,Actual,2022-03-28,Player 15,Agility,9
171,Actual,2022-03-29,Player 15,Agility,3
172,Actual,2022-03-30,Player 15,Agility,7
173,Actual,2022-03-31,Player 15,Agility,5
174,Carried over,2022-04-05,Player 15,Agility,8
175,Carried over,2022-04-04,Player 15,Agility,8
176,Actual,2022-04-01,Player 15,Agility,8
177,Actual,2022-04-06,Player 15,Agility,4
178,Actual,2022-04-07,Player 15,Agility,4
179,Actual,2022-04-08,Player 15,Agility,4
180,Actual,2022-04-11,Player 15,Agility,9
181,Actual,2022-04-12,Player 15,Agility,4
182,Actual,2022-04-13,Player 15,Agility,6
183,Actual,2022-04-14,Player 15,Agility,6
184,Actual,2022-04-15,Player 15,Agility,6
185,Actual,2022-04-18,Player 15,Agility,10
186,Actual,2022-04-19,Player 15,Agility,5
187,Actual,2022-04-20,Player 15,Agility,10
188,Actual,2022-04-21,Player 15,Agility,9
189,Carried over,2022-04-25,Player 15,Agility,3
190,Actual,2022-04-22,Player 15,Agility,3
191,Carried over,2022-04-29,Player 15,Agility,4
192,Carried over,2022-04-28,Player 15,Agility,4
193,Carried over,2022-04-27,Player 15,Agility,4
194,Actual,2022-04-26,Player 15,Agility,4
195,Carried over,2022-05-03,Player 15,Agility,7
196,Actual,2022-05-02,Player 15,Agility,7
197,Actual,2022-05-04,Player 15,Agility,8
198,Actual,2022-05-05,Player 15,Agility,7
199,Actual,2022-05-06,Player 15,Agility,6
200,Carried over,2022-05-10,Player 15,Agility,7
201,Actual,2022-05-09,Player 15,Agility,7
202,Carried over,2022-05-12,Player 15,Agility,6
203,Actual,2022-05-11,Player 15,Agility,6
204,Carried over,2022-05-16,Player 15,Agility,7
205,Actual,2022-05-13,Player 15,Agility,7
206,Actual,2022-05-17,Player 15,Agility,5
207,Actual,2022-05-18,Player 15,Agility,3
208,Carried over,2022-05-20,Player 15,Agility,9
209,Actual,2022-05-19,Player 15,Agility,9
210,Actual,2022-05-23,Player 15,Agility,10
211,Actual,2022-05-24,Player 15,Agility,6
212,Actual,2022-05-25,Player 15,Agility,6
213,Actual,2022-05-26,Player 15,Agility,9
214,Actual,2022-05-27,Player 15,Agility,10
215,Actual,2022-05-30,Player 15,Agility,4
216,Actual,2022-05-31,Player 15,Agility,7
217,Actual,2022-06-01,Player 15,Agility,5
218,Actual,2022-06-02,Player 15,Agility,3
219,Carried over,2022-06-06,Player 15,Agility,6
220,Actual,2022-06-03,Player 15,Agility,6
221,Actual,2022-06-07,Player 15,Agility,3
222,Actual,2022-06-08,Player 15,Agility,10
223,Actual,2022-06-09,Player 15,Agility,8
224,Actual,2022-06-10,Player 15,Agility,7
225,Actual,2022-06-13,Player 15,Agility,6
226,Actual,2022-06-14,Player 15,Agility,6
227,Actual,2022-06-15,Player 15,Agility,3
228,Actual,2022-06-16,Player 15,Agility,3
229,Actual,2022-06-17,Player 15,Agility,8
230,Actual,2022-06-20,Player 15,Agility,5
231,Actual,2022-06-21,Player 15,Agility,3
232,Actual,2022-06-22,Player 15,Agility,7
233,Actual,2022-06-23,Player 15,Agility,7
234,Actual,2022-06-24,Player 15,Agility,5
235,Carried over,2022-06-28,Player 15,Agility,5
236,Actual,2022-06-27,Player 15,Agility,5
237,Actual,2022-06-29,Player 15,Agility,8
238,Actual,2022-06-30,Player 15,Agility,7
239,Actual,2022-07-01,Player 15,Agility,4
240,Carried over,2022-07-05,Player 15,Agility,10
241,Actual,2022-07-04,Player 15,Agility,10
242,Carried over,2022-07-08,Player 15,Agility,6
243,Carried over,2022-07-07,Player 15,Agility,6
244,Actual,2022-07-06,Player 15,Agility,6
245,Carried over,2022-07-13,Player 15,Agility,9
246,Carried over,2022-07-12,Player 15,Agility,9
247,Actual,2022-07-11,Player 15,Agility,9
248,Actual,2022-07-14,Player 15,Agility,6
249,Carried over,2022-07-18,Player 15,Agility,4
250,Actual,2022-07-15,Player 15,Agility,4
251,Actual,2022-07-19,Player 15,Agility,9
252,Actual,2022-07-20,Player 15,Agility,7
253,Actual,2022-07-21,Player 15,Agility,8
254,Actual,2022-07-22,Player 15,Agility,5
255,Actual,2022-07-25,Player 15,Agility,10
256,Carried over,2022-07-27,Player 15,Agility,4
257,Actual,2022-07-26,Player 15,Agility,4
258,Carried over,2021-08-03,Player 11,Agility,10
259,Actual,2021-08-02,Player 11,Agility,10
260,Carried over,2021-08-06,Player 11,Agility,9
261,Carried over,2021-08-05,Player 11,Agility,9
262,Actual,2021-08-04,Player 11,Agility,9
263,Actual,2021-08-09,Player 11,Agility,3
264,Carried over,2021-09-03,Player 11,Agility,6
265,Carried over,2021-09-02,Player 11,Agility,6
266,Carried over,2021-09-01,Player 11,Agility,6
267,Carried over,2021-08-31,Player 11,Agility,6
268,Carried over,2021-08-30,Player 11,Agility,6
269,Actual,2021-08-05,Player 1,Cardio,10
270,Actual,2021-08-06,Player 1,Cardio,7
271,Carried over,2021-08-16,Player 1,Cardio,3
272,Carried over,2021-08-13,Player 1,Cardio,3
273,Carried over,2021-08-12,Player 1,Cardio,3
274,Carried over,2021-08-11,Player 1,Cardio,3
275,Carried over,2021-08-10,Player 1,Cardio,3
276,Actual,2021-08-09,Player 1,Cardio,3
277,Carried over,2021-08-18,Player 1,Cardio,8
278,Actual,2021-08-17,Player 1,Cardio,8
279,Carried over,2021-08-20,Player 1,Cardio,6
280,Actual,2021-08-19,Player 1,Cardio,6
281,Carried over,2021-08-27,Player 1,Cardio,3
282,Carried over,2021-08-26,Player 1,Cardio,3
283,Carried over,2021-08-25,Player 1,Cardio,3
284,Carried over,2021-08-24,Player 1,Cardio,3
285,Actual,2021-08-23,Player 1,Cardio,3
286,Carried over,2021-09-01,Player 1,Cardio,8
287,Carried over,2021-08-31,Player 1,Cardio,8
288,Actual,2021-08-30,Player 1,Cardio,8
289,Actual,2021-09-02,Player 1,Cardio,10
290,Carried over,2021-09-09,Player 1,Cardio,8
291,Carried over,2021-09-08,Player 1,Cardio,8
292,Carried over,2021-09-07,Player 1,Cardio,8
293,Carried over,2021-09-06,Player 1,Cardio,8
294,Actual,2021-09-03,Player 1,Cardio,8
295,Carried over,2021-09-13,Player 1,Cardio,9
296,Actual,2021-09-10,Player 1,Cardio,9
297,Carried over,2021-09-15,Player 1,Cardio,8
298,Actual,2021-09-14,Player 1,Cardio,8
299,Carried over,2021-09-17,Player 1,Cardio,8
300,Actual,2021-09-16,Player 1,Cardio,8
301,Carried over,2021-09-22,Player 1,Cardio,6
302,Carried over,2021-09-21,Player 1,Cardio,6
303,Actual,2021-09-20,Player 1,Cardio,6
304,Actual,2021-09-23,Player 1,Cardio,5
305,Carried over,2021-10-27,Player 1,Cardio,3
306,Carried over,2021-10-26,Player 1,Cardio,3
307,Carried over,2021-10-25,Player 1,Cardio,3
308,Carried over,2021-10-22,Player 1,Cardio,3
309,Carried over,2021-10-21,Player 1,Cardio,3
310,Carried over,2021-10-20,Player 1,Cardio,3
311,Carried over,2021-10-19,Player 1,Cardio,3
312,Carried over,2021-10-18,Player 1,Cardio,3
313,Carried over,2021-10-15,Player 1,Cardio,3
314,Carried over,2021-10-14,Player 1,Cardio,3
315,Carried over,2021-10-13,Player 1,Cardio,3
316,Carried over,2021-10-12,Player 1,Cardio,3
317,Carried over,2021-10-11,Player 1,Cardio,3
318,Carried over,2021-10-08,Player 1,Cardio,3
319,Carried over,2021-10-07,Player 1,Cardio,3
320,Carried over,2021-10-06,Player 1,Cardio,3
321,Carried over,2021-10-05,Player 1,Cardio,3
322,Carried over,2021-10-04,Player 1,Cardio,3
323,Carried over,2021-10-01,Player 1,Cardio,3
324,Carried over,2021-09-30,Player 1,Cardio,3
325,Carried over,2021-09-29,Player 1,Cardio,3
326,Carried over,2021-09-28,Player 1,Cardio,3
327,Carried over,2021-09-27,Player 1,Cardio,3
328,Actual,2021-09-24,Player 1,Cardio,3
329,Actual,2021-10-28,Player 1,Cardio,8
330,Carried over,2021-11-02,Player 1,Cardio,3
331,Carried over,2021-11-01,Player 1,Cardio,3
332,Actual,2021-10-29,Player 1,Cardio,3
333,Actual,2021-11-03,Player 1,Cardio,8
334,Actual,2021-11-04,Player 1,Cardio,4
335,Carried over,2021-11-18,Player 1,Cardio,9
336,Carried over,2021-11-17,Player 1,Cardio,9
337,Carried over,2021-11-16,Player 1,Cardio,9
338,Carried over,2021-11-15,Player 1,Cardio,9
339,Carried over,2021-11-12,Player 1,Cardio,9
340,Carried over,2021-11-11,Player 1,Cardio,9
341,Carried over,2021-11-10,Player 1,Cardio,9
342,Carried over,2021-11-09,Player 1,Cardio,9
343,Carried over,2021-11-08,Player 1,Cardio,9
344,Actual,2021-11-05,Player 1,Cardio,9
345,Carried over,2021-12-07,Player 1,Cardio,6
346,Carried over,2021-12-06,Player 1,Cardio,6
347,Carried over,2021-12-03,Player 1,Cardio,6
348,Carried over,2021-12-02,Player 1,Cardio,6
349,Carried over,2021-12-01,Player 1,Cardio,6
350,Carried over,2021-11-30,Player 1,Cardio,6
351,Carried over,2021-11-29,Player 1,Cardio,6
352,Carried over,2021-11-26,Player 1,Cardio,6
353,Carried over,2021-11-25,Player 1,Cardio,6
354,Carried over,2021-11-24,Player 1,Cardio,6
355,Carried over,2021-11-23,Player 1,Cardio,6
356,Carried over,2021-11-22,Player 1,Cardio,6
357,Actual,2021-11-19,Player 1,Cardio,6
358,Carried over,2021-12-14,Player 1,Cardio,7
359,Carried over,2021-12-13,Player 1,Cardio,7
360,Carried over,2021-12-10,Player 1,Cardio,7
361,Carried over,2021-12-09,Player 1,Cardio,7
362,Actual,2021-12-08,Player 1,Cardio,7
363,Carried over,2021-12-22,Player 1,Cardio,10
364,Carried over,2021-12-21,Player 1,Cardio,10
365,Carried over,2021-12-20,Player 1,Cardio,10
366,Carried over,2021-12-17,Player 1,Cardio,10
367,Carried over,2021-12-16,Player 1,Cardio,10
368,Actual,2021-12-15,Player 1,Cardio,10
369,Carried over,2021-12-29,Player 1,Cardio,7
370,Carried over,2021-12-28,Player 1,Cardio,7
371,Carried over,2021-12-27,Player 1,Cardio,7
372,Carried over,2021-12-24,Player 1,Cardio,7
373,Actual,2021-12-23,Player 1,Cardio,7
374,Actual,2021-12-30,Player 1,Cardio,10
375,Actual,2021-12-31,Player 1,Cardio,3
376,Actual,2022-01-03,Player 1,Cardio,3
377,Carried over,2022-01-05,Player 1,Cardio,10
378,Actual,2022-01-04,Player 1,Cardio,10
379,Actual,2022-01-06,Player 1,Cardio,10
380,Actual,2022-01-07,Player 1,Cardio,7
381,Actual,2022-01-10,Player 1,Cardio,3
382,Carried over,2022-01-14,Player 1,Cardio,7
383,Carried over,2022-01-13,Player 1,Cardio,7
384,Carried over,2022-01-12,Player 1,Cardio,7
385,Actual,2022-01-11,Player 1,Cardio,7
386,Actual,2022-01-17,Player 1,Cardio,8
387,Carried over,2022-01-19,Player 1,Cardio,8
388,Actual,2022-01-18,Player 1,Cardio,8
389,Carried over,2022-01-21,Player 1,Cardio,6
390,Actual,2022-01-20,Player 1,Cardio,6
391,Carried over,2022-01-25,Player 1,Cardio,3
392,Actual,2022-01-24,Player 1,Cardio,3
393,Carried over,2022-01-28,Player 1,Cardio,4
394,Carried over,2022-01-27,Player 1,Cardio,4
395,Actual,2022-01-26,Player 1,Cardio,4
396,Carried over,2022-02-01,Player 1,Cardio,8
397,Actual,2022-01-31,Player 1,Cardio,8
398,Actual,2022-02-02,Player 1,Cardio,6
399,Actual,2022-02-03,Player 1,Cardio,10
400,Carried over,2022-02-08,Player 1,Cardio,8
401,Carried over,2022-02-07,Player 1,Cardio,8
402,Actual,2022-02-04,Player 1,Cardio,8
403,Actual,2022-02-09,Player 1,Cardio,7
404,Actual,2022-02-10,Player 1,Cardio,9
405,Actual,2022-02-11,Player 1,Cardio,9
406,Actual,2022-02-14,Player 1,Cardio,7
407,Carried over,2022-02-16,Player 1,Cardio,8
408,Actual,2022-02-15,Player 1,Cardio,8
409,Actual,2022-02-17,Player 1,Cardio,8
410,Actual,2022-02-18,Player 1,Cardio,10
411,Carried over,2022-02-22,Player 1,Cardio,6
412,Actual,2022-02-21,Player 1,Cardio,6
413,Actual,2022-02-23,Player 1,Cardio,9
414,Actual,2022-02-24,Player 1,Cardio,5
415,Carried over,2022-02-28,Player 1,Cardio,3
416,Actual,2022-02-25,Player 1,Cardio,3
417,Carried over,2022-03-02,Player 1,Cardio,5
418,Actual,2022-03-01,Player 1,Cardio,5
419,Carried over,2022-03-08,Player 1,Cardio,3
420,Carried over,2022-03-07,Player 1,Cardio,3
421,Carried over,2022-03-04,Player 1,Cardio,3
422,Actual,2022-03-03,Player 1,Cardio,3
423,Carried over,2022-03-10,Player 1,Cardio,8
424,Actual,2022-03-09,Player 1,Cardio,8
425,Carried over,2022-03-14,Player 1,Cardio,9
426,Actual,2022-03-11,Player 1,Cardio,9
427,Carried over,2022-03-16,Player 1,Cardio,5
428,Actual,2022-03-15,Player 1,Cardio,5
429,Actual,2022-03-17,Player 1,Cardio,9
430,Actual,2022-03-18,Player 1,Cardio,10
431,Carried over,2022-03-25,Player 1,Cardio,3
432,Carried over,2022-03-24,Player 1,Cardio,3
433,Carried over,2022-03-23,Player 1,Cardio,3
434,Carried over,2022-03-22,Player 1,Cardio,3
435,Actual,2022-03-21,Player 1,Cardio,3
436,Actual,2022-03-28,Player 1,Cardio,5
437,Actual,2022-03-29,Player 1,Cardio,8
438,Actual,2022-03-30,Player 1,Cardio,3
439,Actual,2022-03-31,Player 1,Cardio,6
440,Actual,2022-04-01,Player 1,Cardio,7
441,Actual,2022-04-04,Player 1,Cardio,8
442,Actual,2022-04-05,Player 1,Cardio,4
443,Actual,2022-04-06,Player 1,Cardio,9
444,Actual,2022-04-07,Player 1,Cardio,10
445,Carried over,2022-04-14,Player 1,Cardio,5
446,Carried over,2022-04-13,Player 1,Cardio,5
447,Carried over,2022-04-12,Player 1,Cardio,5
448,Carried over,2022-04-11,Player 1,Cardio,5
449,Actual,2022-04-08,Player 1,Cardio,5
450,Actual,2022-04-15,Player 1,Cardio,3
451,Carried over,2022-04-19,Player 1,Cardio,3
452,Actual,2022-04-18,Player 1,Cardio,3
453,Actual,2022-04-20,Player 1,Cardio,6
454,Actual,2022-04-21,Player 1,Cardio,6
455,Actual,2022-04-22,Player 1,Cardio,3
456,Carried over,2022-04-28,Player 1,Cardio,4
457,Carried over,2022-04-27,Player 1,Cardio,4
458,Carried over,2022-04-26,Player 1,Cardio,4
459,Actual,2022-04-25,Player 1,Cardio,4
460,Carried over,2022-05-02,Player 1,Cardio,9
461,Actual,2022-04-29,Player 1,Cardio,9
462,Carried over,2022-05-05,Player 1,Cardio,6
463,Carried over,2022-05-04,Player 1,Cardio,6
464,Actual,2022-05-03,Player 1,Cardio,6
465,Actual,2022-05-06,Player 1,Cardio,7
466,Carried over,2022-05-11,Player 1,Cardio,7
467,Carried over,2022-05-10,Player 1,Cardio,7
468,Actual,2022-05-09,Player 1,Cardio,7
469,Actual,2022-05-12,Player 1,Cardio,8
470,Actual,2022-05-13,Player 1,Cardio,9
471,Actual,2022-05-16,Player 1,Cardio,10
472,Carried over,2022-05-19,Player 1,Cardio,3
473,Carried over,2022-05-18,Player 1,Cardio,3
474,Actual,2022-05-17,Player 1,Cardio,3
475,Actual,2022-05-20,Player 1,Cardio,4
476,Actual,2022-05-23,Player 1,Cardio,9
477,Carried over,2022-05-25,Player 1,Cardio,7
478,Actual,2022-05-24,Player 1,Cardio,7
479,Carried over,2022-05-30,Player 1,Cardio,8
480,Carried over,2022-05-27,Player 1,Cardio,8
481,Actual,2022-05-26,Player 1,Cardio,8
482,Actual,2022-05-31,Player 1,Cardio,10
483,Actual,2022-06-01,Player 1,Cardio,3
484,Actual,2022-06-02,Player 1,Cardio,6
485,Actual,2022-06-03,Player 1,Cardio,3
486,Actual,2022-06-06,Player 1,Cardio,6
487,Actual,2022-06-07,Player 1,Cardio,4
488,Actual,2022-06-08,Player 1,Cardio,10
489,Carried over,2022-06-10,Player 1,Cardio,4
490,Actual,2022-06-09,Player 1,Cardio,4
491,Actual,2022-06-13,Player 1,Cardio,9
492,Carried over,2022-06-20,Player 1,Cardio,6
493,Carried over,2022-06-17,Player 1,Cardio,6
494,Carried over,2022-06-16,Player 1,Cardio,6
495,Carried over,2022-06-15,Player 1,Cardio,6
496,Actual,2022-06-14,Player 1,Cardio,6
497,Actual,2022-06-21,Player 1,Cardio,7
498,Actual,2022-06-22,Player 1,Cardio,4
499,Actual,2022-06-23,Player 1,Cardio,10
500,Actual,2022-06-24,Player 1,Cardio,6
501,Actual,2022-06-27,Player 1,Cardio,7
502,Actual,2022-06-28,Player 1,Cardio,9
503,Carried over,2022-06-30,Player 1,Cardio,8
504,Actual,2022-06-29,Player 1,Cardio,8
505,Carried over,2022-07-04,Player 1,Cardio,6
506,Actual,2022-07-01,Player 1,Cardio,6
507,Actual,2022-07-05,Player 1,Cardio,8
508,Carried over,2022-07-07,Player 1,Cardio,8
509,Actual,2022-07-06,Player 1,Cardio,8
510,Actual,2022-07-08,Player 1,Cardio,10
511,Carried over,2022-07-12,Player 1,Cardio,5
512,Actual,2022-07-11,Player 1,Cardio,5
513,Actual,2022-07-13,Player 1,Cardio,9
514,Carried over,2022-07-15,Player 1,Cardio,7
515,Actual,2022-07-14,Player 1,Cardio,7
516,Actual,2022-07-18,Player 1,Cardio,3
517,Actual,2022-07-19,Player 1,Cardio,8
518,Actual,2022-07-20,Player 1,Cardio,6
519,Actual,2022-07-21,Player 1,Cardio,9
520,Actual,2022-07-22,Player 1,Cardio,8
521,Carried over,2022-07-27,Player 1,Cardio,8
522,Carried over,2022-07-26,Player 1,Cardio,8
523,Actual,2022-07-25,Player 1,Cardio,8
524,Carried over,2021-08-06,Player 10,Cardio,5
525,Carried over,2021-08-05,Player 10,Cardio,5
526,Carried over,2021-08-04,Player 10,Cardio,5
527,Carried over,2021-08-03,Player 10,Cardio,5
528,Actual,2021-08-02,Player 10,Cardio,5
529,Carried over,2021-08-10,Player 10,Cardio,4
530,Actual,2021-08-09,Player 10,Cardio,4
531,Carried over,2021-08-12,Player 10,Cardio,5
532,Actual,2021-08-11,Player 10,Cardio,5
533,Carried over,2021-08-16,Player 10,Cardio,10
534,Actual,2021-08-13,Player 10,Cardio,10
535,Carried over,2021-08-18,Player 10,Cardio,3
536,Actual,2021-08-17,Player 10,Cardio,3
537,Carried over,2021-08-25,Player 10,Cardio,4
538,Carried over,2021-08-24,Player 10,Cardio,4
539,Carried over,2021-08-23,Player 10,Cardio,4
540,Carried over,2021-08-20,Player 10,Cardio,4
541,Actual,2021-08-19,Player 10,Cardio,4
542,Actual,2021-08-26,Player 10,Cardio,5
543,Actual,2021-08-27,Player 10,Cardio,6
544,Actual,2021-08-05,Player 6,Agility,5
545,Carried over,2021-08-09,Player 6,Agility,7
546,Actual,2021-08-06,Player 6,Agility,7
547,Carried over,2021-08-12,Player 6,Agility,3
548,Carried over,2021-08-11,Player 6,Agility,3
549,Actual,2021-08-10,Player 6,Agility,3
550,Actual,2021-08-13,Player 6,Agility,10
551,Carried over,2021-08-18,Player 6,Agility,7
552,Carried over,2021-08-17,Player 6,Agility,7
553,Actual,2021-08-16,Player 6,Agility,7
554,Carried over,2021-08-24,Player 6,Agility,3
555,Carried over,2021-08-23,Player 6,Agility,3
556,Carried over,2021-08-20,Player 6,Agility,3
557,Actual,2021-08-19,Player 6,Agility,3
