,player,date,session,score
70,Player 1,2022-01-19,Agility,5.0
71,Player 1,2022-01-20,Agility,3.0
72,Player 1,2022-01-21,Agility,3.0
73,Player 1,2022-01-24,Agility,6.0
74,Player 1,2022-01-25,Agility,7.0
75,Player 1,2022-01-26,Agility,7.0
76,Player 1,2022-01-27,Agility,7.0
77,Player 1,2022-01-28,Agility,7.0
78,Player 1,2022-01-31,Agility,9.0
79,Player 1,2022-02-01,Agility,5.0
80,Player 1,2022-02-02,Agility,6.0
81,Player 1,2022-02-03,Agility,6.0
82,Player 1,2022-02-04,Agility,6.0
83,Player 1,2022-02-07,Agility,9.0
84,Player 1,2022-02-08,Agility,3.0
85,Player 1,2022-02-09,Agility,3.0
86,Player 1,2022-02-10,Agility,3.0
87,Player 1,2022-02-11,Agility,5.0
88,Player 1,2022-02-14,Agility,4.0
89,Player 1,2022-02-15,Agility,4.0
90,Player 1,2022-02-16,Agility,3.0
91,Player 1,2022-02-17,Agility,3.0
92,Player 1,2022-02-18,Agility,3.0
93,Player 1,2022-02-21,Agility,3.0
94,Player 1,2022-02-22,Agility,3.0
95,Player 1,2022-02-23,Agility,6.0
96,Player 1,2022-02-24,Agility,4.0
97,Player 1,2022-02-25,Agility,7.0
98,Player 1,2022-02-28,Agility,7.0
99,Player 1,2022-03-01,Agility,4.0
100,Player 1,2022-03-02,Agility,10.0
101,Player 1,2022-03-03,Agility,10.0
102,Player 1,2022-03-04,Agility,3.0
103,Player 1,2022-03-07,Agility,5.0
104,Player 1,2022-03-08,Agility,9.0
105,Player 1,2022-03-09,Agility,9.0
106,Player 1,2022-03-10,Agility,3.0
107,Player 1,2022-03-11,Agility,3.0
108,Player 1,2022-03-14,Agility,9.0
109,Player 1,2022-03-15,Agility,9.0
110,Player 1,2022-03-16,Agility,8.0
111,Player 1,2022-03-17,Agility,8.0
112,Player 1,2022-03-18,Agility,8.0
113,Player 1,2022-03-21,Agility,8.0
114,Player 1,2022-03-22,Agility,6.0
115,Player 1,2022-03-23,Agility,8.0
116,Player 1,2022-03-24,Agility,4.0
117,Player 1,2022-03-25,Agility,4.0
118,Player 1,2022-03-28,Agility,6.0
119,Player 1,2022-03-29,Agility,6.0
120,Player 1,2022-03-30,Agility,3.0
121,Player 1,2022-03-31,Agility,7.0
122,Player 1,2022-04-01,Agility,7.0
123,Player 1,2022-04-04,Agility,6.0
124,Player 1,2022-04-05,Agility,7.0
125,Player 1,2022-04-06,Agility,4.0
126,Player 1,2022-04-07,Agility,4.0
127,Player 1,2022-04-08,Agility,8.0
128,Player 1,2022-04-14,Agility,7.0
129,Player 1,2022-04-15,Agility,4.0
130,Player 1,2022-04-18,Agility,7.0
131,Player 1,2022-04-19,Agility,6.0
132,Player 1,2022-04-20,Agility,8.0
133,Player 1,2022-04-21,Agility,8.0
134,Player 1,2022-04-22,Agility,10.0
135,Player 1,2022-04-25,Agility,10.0
136,Player 1,2022-04-26,Agility,8.0
137,Player 1,2022-04-27,Agility,9.0
138,Player 1,2022-04-28,Agility,4.0
139,Player 1,2022-04-29,Agility,4.0
140,Player 1,2022-05-03,Agility,4.0
141,Player 1,2022-05-04,Agility,4.0
142,Player 1,2022-05-05,Agility,4.0
143,Player 1,2022-05-06,Agility,8.0
144,Player 1,2022-05-09,Agility,3.0
145,Player 1,2022-05-10,Agility,9.0
146,Player 1,2022-05-12,Agility,9.0
147,Player 1,2022-05-13,Agility,3.0
148,Player 1,2022-05-16,Agility,6.0
149,Player 1,2022-05-17,Agility,6.0
150,Player 1,2022-05-18,Agility,6.0
151,Player 1,2022-05-19,Agility,4.0
152,Player 1,2022-05-20,Agility,4.0
153,Player 1,2022-05-23,Agility,9.0
154,Player 1,2022-05-24,Agility,9.0
155,Player 1,2022-05-25,Agility,3.0
156,Player 1,2022-05-26,Agility,8.0
157,Player 1,2022-05-27,Agility,8.0
158,Player 1,2022-05-30,Agility,5.0
159,Player 1,2022-05-31,Agility,7.0
160,Player 1,2022-06-01,Agility,8.0
161,Player 1,2022-06-02,Agility,10.0
162,Player 1,2022-06-03,Agility,10.0
163,Player 1,2022-06-06,Agility,8.0
164,Player 1,2022-06-07,Agility,8.0
165,Player 1,2022-06-08,Agility,3.0
166,Player 1,2022-06-09,Agility,5.0
167,Player 1,2022-06-10,Agility,9.0
168,Player 1,2022-06-13,Agility,9.0
169,Player 1,2022-06-14,Agility,9.0
170,Player 1,2022-06-16,Agility,7.0
171,Player 1,2022-06-17,Agility,5.0
172,Player 1,2022-06-20,Agility,8.0
173,Player 1,2022-06-21,Agility,9.0
174,Player 1,2022-06-22,Agility,7.0
175,Player 1,2022-06-23,Agility,7.0
176,Player 1,2022-06-24,Agility,4.0
177,Player 1,2022-06-27,Agility,7.0
178,Player 1,2022-06-28,Agility,7.0
179,Player 1,2022-06-29,Agility,7.0
180,Player 1,2022-06-30,Agility,4.0
181,Player 1,2022-07-01,Agility,9.0
182,Player 1,2022-07-04,Agility,6.0
183,Player 1,2022-07-05,Agility,6.0
184,Player 1,2022-07-06,Agility,6.0
185,Player 1,2022-07-07,Agility,5.0
186,Player 1,2022-07-08,Agility,5.0
187,Player 1,2022-07-11,Agility,9.0
188,Player 1,2022-07-12,Agility,6.0
189,Player 1,2022-07-13,Agility,6.0
190,Player 1,2022-07-14,Agility,8.0
191,Player 1,2022-07-15,Agility,10.0
192,Player 1,2022-07-18,Agility,8.0
193,Player 1,2022-07-19,Agility,8.0
194,Player 1,2022-07-20,Agility,10.0
195,Player 1,2022-07-21,Agility,7.0
196,Player 1,2022-07-22,Agility,7.0
197,Player 1,2022-07-25,Agility,10.0
198,Player 1,2022-07-26,Agility,6.0
199,Player 1,2022-07-27,Agility,8.0
200,Player 1,2022-07-28,Agility,5.0
201,Player 1,2022-07-29,Agility,6.0
202,Player 10,2021-08-02,Agility,9.0
203,Player 10,2021-08-06,Agility,5.0
204,Player 10,2021-08-09,Agility,6.0
205,Player 10,2021-08-10,Agility,6.0
206,Player 10,2021-08-11,Agility,6.0
207,Player 10,2021-08-12,Agility,6.0
208,Player 10,2021-08-13,Agility,6.0
209,Player 10,2021-08-16,Agility,4.0
210,Player 10,2021-08-17,Agility,4.0
211,Player 10,2021-08-18,Agility,9.0
212,Player 10,2021-08-19,Agility,9.0
213,Player 10,2021-08-24,Agility,9.0
214,Player 10,2021-08-25,Agility,6.0
215,Player 10,2021-08-26,Agility,6.0
216,Player 10,2021-08-27,Agility,6.0
217,Player 10,2021-08-30,Agility,6.0
218,Player 10,2021-08-31,Agility,9.0
219,Player 10,2021-09-01,Agility,8.0
220,Player 10,2021-09-02,Agility,8.0
221,Player 10,2021-09-07,Agility,8.0
222,Player 10,2021-09-09,Agility,8.0
223,Player 10,2021-09-14,Agility,4.0
224,Player 10,2021-09-16,Agility,4.0
225,Player 10,2021-09-17,Agility,4.0
226,Player 10,2021-09-21,Agility,3.0
227,Player 10,2021-09-22,Agility,3.0
228,Player 10,2021-09-23,Agility,8.0
229,Player 10,2021-09-24,Agility,4.0
230,Player 10,2021-09-30,Agility,10.0
231,Player 10,2021-10-01,Agility,10.0
232,Player 10,2021-10-06,Agility,5.0
233,Player 10,2021-10-07,Agility,5.0
234,Player 10,2021-10-08,Agility,4.0
235,Player 10,2021-10-14,Agility,4.0
236,Player 10,2021-10-15,Agility,4.0
237,Player 10,2021-10-20,Agility,6.0
238,Player 10,2021-10-21,Agility,6.0
239,Player 10,2021-10-22,Agility,6.0
240,Player 10,2021-10-27,Agility,6.0
241,Player 10,2021-10-28,Agility,6.0
242,Player 10,2021-10-29,Agility,10.0
243,Player 10,2021-11-04,Agility,10.0
244,Player 10,2021-11-05,Agility,5.0
245,Player 10,2021-11-10,Agility,4.0
246,Player 10,2021-11-11,Agility,4.0
247,Player 10,2021-11-12,Agility,4.0
248,Player 10,2021-11-17,Agility,5.0
249,Player 10,2021-11-18,Agility,5.0
250,Player 10,2021-11-19,Agility,5.0
251,Player 10,2021-11-26,Agility,3.0
252,Player 10,2021-12-01,Agility,3.0
253,Player 10,2021-12-03,Agility,10.0
254,Player 10,2021-12-15,Agility,10.0
255,Player 10,2021-12-16,Agility,10.0
256,Player 10,2021-12-17,Agility,10.0
257,Player 10,2021-12-22,Agility,9.0
258,Player 10,2021-12-23,Agility,3.0
259,Player 10,2021-12-24,Agility,3.0
260,Player 10,2021-12-30,Agility,3.0
261,Player 10,2021-12-31,Agility,5.0
262,Player 10,2022-01-03,Agility,9.0
263,Player 10,2022-01-04,Agility,7.0
264,Player 10,2022-01-05,Agility,7.0
265,Player 10,2022-01-06,Agility,4.0
266,Player 10,2022-01-07,Agility,5.0
267,Player 10,2022-01-10,Agility,6.0
268,Player 10,2022-01-11,Agility,6.0
269,Player 10,2022-01-12,Agility,6.0
270,Player 10,2022-01-13,Agility,6.0
271,Player 10,2022-01-14,Agility,6.0
272,Player 10,2022-01-17,Agility,4.0
273,Player 10,2022-01-18,Agility,10.0
274,Player 10,2022-01-19,Agility,9.0
275,Player 10,2022-01-20,Agility,9.0
276,Player 10,2022-01-24,Agility,7.0
277,Player 10,2022-01-25,Agility,7.0
278,Player 10,2022-01-26,Agility,6.0
279,Player 10,2022-01-27,Agility,6.0
280,Player 10,2022-01-28,Agility,7.0
281,Player 10,2022-01-31,Agility,7.0
282,Player 10,2022-02-01,Agility,9.0
283,Player 10,2022-02-02,Agility,8.0
284,Player 10,2022-02-03,Agility,8.0
285,Player 10,2022-02-07,Agility,8.0
286,Player 10,2022-02-08,Agility,9.0
287,Player 10,2022-02-10,Agility,9.0
288,Player 10,2022-02-11,Agility,3.0
289,Player 10,2022-02-14,Agility,3.0
290,Player 10,2022-02-15,Agility,4.0
291,Player 10,2022-02-16,Agility,4.0
292,Player 10,2022-02-17,Agility,8.0
293,Player 10,2022-02-18,Agility,8.0
294,Player 10,2022-02-22,Agility,3.0
295,Player 10,2022-02-23,Agility,3.0
296,Player 10,2022-02-24,Agility,8.0
297,Player 10,2022-02-25,Agility,4.0
298,Player 10,2022-02-28,Agility,4.0
299,Player 10,2022-03-01,Agility,10.0
300,Player 10,2022-03-02,Agility,10.0
301,Player 10,2022-03-03,Agility,7.0
302,Player 10,2022-03-04,Agility,7.0
303,Player 10,2022-03-07,Agility,5.0
304,Player 10,2022-03-08,Agility,5.0
305,Player 10,2022-03-09,Agility,4.0
306,Player 10,2022-03-10,Agility,6.0
307,Player 10,2022-03-11,Agility,4.0
308,Player 10,2022-03-14,Agility,8.0
309,Player 10,2022-03-15,Agility,8.0
310,Player 10,2022-03-16,Agility,4.0
311,Player 10,2022-03-17,Agility,7.0
312,Player 10,2022-03-18,Agility,3.0
313,Player 10,2022-03-21,Agility,6.0
314,Player 10,2022-03-22,Agility,6.0
315,Player 10,2022-03-23,Agility,6.0
316,Player 10,2022-03-24,Agility,4.0
317,Player 10,2022-03-25,Agility,10.0
318,Player 10,2022-03-28,Agility,4.0
319,Player 10,2022-03-29,Agility,10.0
320,Player 10,2022-03-30,Agility,10.0
321,Player 10,2022-03-31,Agility,10.0
322,Player 10,2022-04-01,Agility,9.0
323,Player 10,2022-04-04,Agility,8.0
324,Player 10,2022-04-05,Agility,4.0
325,Player 10,2022-04-06,Agility,5.0
326,Player 10,2022-04-07,Agility,9.0
327,Player 10,2022-04-08,Agility,9.0
328,Player 10,2022-04-11,Agility,4.0
329,Player 10,2022-04-12,Agility,4.0
330,Player 10,2022-04-13,Agility,4.0
331,Player 10,2022-04-14,Agility,7.0
332,Player 10,2022-04-15,Agility,5.0
333,Player 10,2022-04-18,Agility,5.0
334,Player 10,2022-04-19,Agility,4.0
335,Player 10,2022-04-20,Agility,7.0
336,Player 10,2022-04-21,Agility,4.0
337,Player 10,2022-04-22,Agility,10.0
338,Player 10,2022-04-25,Agility,9.0
339,Player 10,2022-04-27,Agility,3.0
340,Player 10,2022-04-28,Agility,7.0
341,Player 10,2022-04-29,Agility,7.0
342,Player 10,2022-05-02,Agility,7.0
343,Player 10,2022-05-04,Agility,10.0
344,Player 10,2022-05-05,Agility,10.0
345,Player 10,2022-05-06,Agility,7.0
346,Player 10,2022-05-09,Agility,7.0
347,Player 10,2022-05-10,Agility,10.0
348,Player 10,2022-05-11,Agility,10.0
349,Player 10,2022-05-13,Agility,4.0
350,Player 10,2022-05-16,Agility,4.0
351,Player 10,2022-05-17,Agility,4.0
352,Player 10,2022-05-18,Agility,10.0
353,Player 10,2022-05-19,Agility,10.0
354,Player 10,2022-05-23,Agility,9.0
355,Player 10,2022-05-24,Agility,3.0
356,Player 10,2022-05-25,Agility,3.0
357,Player 10,2022-05-26,Agility,6.0
358,Player 10,2022-05-27,Agility,3.0
359,Player 10,2022-05-30,Agility,4.0
360,Player 10,2022-05-31,Agility,9.0
361,Player 10,2022-06-01,Agility,5.0
362,Player 10,2022-06-02,Agility,3.0
363,Player 10,2022-06-03,Agility,7.0
364,Player 10,2022-06-06,Agility,10.0
365,Player 10,2022-06-07,Agility,10.0
366,Player 10,2022-06-08,Agility,8.0
367,Player 10,2022-06-09,Agility,6.0
368,Player 10,2022-06-10,Agility,3.0
369,Player 10,2022-06-13,Agility,10.0
370,Player 10,2022-06-14,Agility,10.0
371,Player 10,2022-06-15,Agility,5.0
372,Player 10,2022-06-16,Agility,5.0
373,Player 10,2022-06-17,Agility,7.0
374,Player 10,2022-06-20,Agility,8.0
375,Player 10,2022-06-21,Agility,7.0
376,Player 10,2022-06-22,Agility,8.0
377,Player 10,2022-06-23,Agility,3.0
378,Player 10,2022-06-24,Agility,3.0
379,Player 10,2022-06-27,Agility,3.0
380,Player 10,2022-06-28,Agility,10.0
381,Player 10,2022-06-29,Agility,6.0
382,Player 10,2022-06-30,Agility,6.0
383,Player 10,2022-07-01,Agility,10.0
384,Player 10,2022-07-04,Agility,6.0
385,Player 10,2022-07-05,Agility,10.0
386,Player 10,2022-07-06,Agility,9.0
387,Player 10,2022-07-08,Agility,6.0
388,Player 10,2022-07-11,Agility,6.0
389,Player 10,2022-07-12,Agility,10.0
390,Player 10,2022-07-13,Agility,8.0
391,Player 10,2022-07-14,Agility,8.0
392,Player 10,2022-07-15,Agility,8.0
393,Player 10,2022-07-18,Agility,10.0
394,Player 10,2022-07-19,Agility,7.0
395,Player 10,2022-07-20,Agility,7.0
396,Player 10,2022-07-21,Agility,10.0
397,Player 10,2022-07-22,Agility,7.0
398,Player 10,2022-07-25,Agility,7.0
399,Player 10,2022-07-26,Agility,7.0
400,Player 10,2022-07-27,Agility,9.0
401,Player 10,2022-07-28,Agility,5.0
402,Player 10,2022-07-29,Agility,5.0
403,Player 11,2021-08-02,Agility,10.0
404,Player 11,2021-08-03,Agility,10.0
405,Player 11,2021-08-04,Agility,9.0
406,Player 11,2021-08-05,Agility,9.0
407,Player 11,2021-08-09,Agility,3.0
408,Player 11,2021-08-10,Agility,6.0
409,Player 11,2021-08-11,Agility,6.0
410,Player 11,2021-08-12,Agility,6.0
411,Player 11,2021-08-13,Agility,6.0
412,Player 11,2021-08-16,Agility,6.0
413,Player 11,2021-08-17,Agility,6.0
414,Player 11,2021-08-18,Agility,6.0
415,Player 11,2021-08-20,Agility,6.0
416,Player 11,2021-08-23,Agility,6.0
417,Player 11,2021-08-24,Agility,6.0
418,Player 11,2021-08-25,Agility,6.0
419,Player 11,2021-08-27,Agility,6.0
420,Player 11,2021-08-31,Agility,6.0
421,Player 11,2021-09-01,Agility,6.0
422,Player 11,2021-09-02,Agility,6.0
423,Player 11,2021-09-03,Agility,6.0
424,Player 11,2021-09-06,Agility,5.0
425,Player 11,2021-09-07,Agility,5.0
426,Player 11,2021-09-08,Agility,5.0
427,Player 11,2021-09-09,Agility,5.0
428,Player 11,2021-09-10,Agility,9.0
429,Player 11,2021-09-13,Agility,6.0
430,Player 11,2021-09-15,Agility,6.0
431,Player 11,2021-09-16,Agility,6.0
432,Player 11,2021-09-20,Agility,4.0
433,Player 11,2021-09-21,Agility,4.0
434,Player 11,2021-09-22,Agility,4.0
435,Player 11,2021-09-27,Agility,4.0
436,Player 11,2021-09-30,Agility,4.0
437,Player 11,2021-10-01,Agility,9.0
438,Player 11,2021-10-06,Agility,9.0
439,Player 11,2021-10-08,Agility,3.0
440,Player 11,2021-10-13,Agility,6.0
441,Player 11,2021-10-14,Agility,6.0
442,Player 11,2021-10-20,Agility,6.0
443,Player 11,2021-10-22,Agility,6.0
444,Player 11,2021-10-28,Agility,10.0
445,Player 11,2021-11-03,Agility,10.0
446,Player 11,2021-11-04,Agility,7.0
447,Player 11,2021-11-05,Agility,7.0
448,Player 11,2021-11-10,Agility,8.0
449,Player 11,2021-11-11,Agility,7.0
450,Player 11,2021-11-12,Agility,6.0
451,Player 11,2021-11-17,Agility,6.0
452,Player 11,2021-11-18,Agility,4.0
453,Player 11,2021-11-19,Agility,4.0
454,Player 11,2021-11-25,Agility,9.0
455,Player 11,2021-11-26,Agility,9.0
456,Player 11,2021-12-02,Agility,9.0
457,Player 11,2021-12-03,Agility,9.0
458,Player 11,2021-12-09,Agility,9.0
459,Player 11,2021-12-10,Agility,9.0
460,Player 11,2021-12-15,Agility,9.0
461,Player 11,2021-12-16,Agility,9.0
462,Player 11,2021-12-17,Agility,9.0
463,Player 11,2021-12-23,Agility,9.0
464,Player 11,2021-12-24,Agility,10.0
465,Player 11,2021-12-29,Agility,10.0
466,Player 11,2021-12-30,Agility,6.0
467,Player 11,2021-12-31,Agility,4.0
468,Player 11,2022-01-03,Agility,10.0
469,Player 11,2022-01-04,Agility,6.0
470,Player 11,2022-01-05,Agility,9.0
471,Player 11,2022-01-06,Agility,9.0
472,Player 11,2022-01-07,Agility,9.0
473,Player 11,2022-01-10,Agility,3.0
474,Player 11,2022-01-11,Agility,6.0
475,Player 11,2022-01-12,Agility,6.0
476,Player 11,2022-01-13,Agility,9.0
477,Player 11,2022-01-14,Agility,9.0
478,Player 11,2022-01-17,Agility,5.0
479,Player 11,2022-01-18,Agility,5.0
480,Player 11,2022-01-19,Agility,5.0
481,Player 11,2022-01-20,Agility,7.0
482,Player 11,2022-01-21,Agility,7.0
483,Player 11,2022-01-24,Agility,7.0
484,Player 11,2022-01-25,Agility,7.0
485,Player 11,2022-01-26,Agility,3.0
486,Player 11,2022-01-27,Agility,3.0
487,Player 11,2022-01-28,Agility,8.0
488,Player 11,2022-02-01,Agility,9.0
489,Player 11,2022-02-02,Agility,9.0
490,Player 11,2022-02-03,Agility,9.0
491,Player 11,2022-02-04,Agility,9.0
492,Player 11,2022-02-07,Agility,5.0
493,Player 11,2022-02-08,Agility,5.0
494,Player 11,2022-02-09,Agility,8.0
495,Player 11,2022-02-10,Agility,5.0
496,Player 11,2022-02-11,Agility,9.0
497,Player 11,2022-02-14,Agility,6.0
498,Player 11,2022-02-15,Agility,9.0
499,Player 11,2022-02-16,Agility,9.0
500,Player 11,2022-02-17,Agility,6.0
501,Player 11,2022-02-18,Agility,3.0
502,Player 11,2022-02-21,Agility,4.0
503,Player 11,2022-02-22,Agility,4.0
504,Player 11,2022-02-23,Agility,4.0
505,Player 11,2022-02-24,Agility,7.0
506,Player 11,2022-02-25,Agility,7.0
507,Player 11,2022-02-28,Agility,3.0
508,Player 11,2022-03-01,Agility,4.0
509,Player 11,2022-03-02,Agility,9.0
510,Player 11,2022-03-03,Agility,9.0
511,Player 11,2022-03-04,Agility,8.0
512,Player 11,2022-03-07,Agility,9.0
513,Player 11,2022-03-08,Agility,9.0
514,Player 11,2022-03-09,Agility,3.0
515,Player 11,2022-03-10,Agility,7.0
516,Player 11,2022-03-11,Agility,8.0
517,Player 11,2022-03-14,Agility,6.0
518,Player 11,2022-03-15,Agility,7.0
519,Player 11,2022-03-17,Agility,5.0
520,Player 11,2022-03-18,Agility,7.0
521,Player 11,2022-03-21,Agility,6.0
522,Player 11,2022-03-22,Agility,6.0
523,Player 11,2022-03-23,Agility,7.0
524,Player 11,2022-03-24,Agility,9.0
525,Player 11,2022-03-25,Agility,5.0
526,Player 11,2022-03-28,Agility,7.0
527,Player 11,2022-03-29,Agility,10.0
528,Player 11,2022-03-31,Agility,10.0
529,Player 11,2022-04-01,Agility,8.0
530,Player 11,2022-04-04,Agility,5.0
531,Player 11,2022-04-05,Agility,7.0
532,Player 11,2022-04-06,Agility,7.0
533,Player 11,2022-04-07,Agility,3.0
534,Player 11,2022-04-08,Agility,10.0
535,Player 11,2022-04-11,Agility,8.0
536,Player 11,2022-04-12,Agility,7.0
537,Player 11,2022-04-13,Agility,6.0
538,Player 11,2022-04-14,Agility,6.0
539,Player 11,2022-04-15,Agility,8.0
540,Player 11,2022-04-18,Agility,8.0
541,Player 11,2022-04-19,Agility,4.0
542,Player 11,2022-04-20,Agility,9.0
543,Player 11,2022-04-21,Agility,10.0
544,Player 11,2022-04-22,Agility,8.0
545,Player 11,2022-04-25,Agility,8.0
546,Player 11,2022-04-26,Agility,9.0
547,Player 11,2022-04-27,Agility,9.0
548,Player 11,2022-04-28,Agility,3.0
549,Player 11,2022-04-29,Agility,4.0
550,Player 11,2022-05-02,Agility,8.0
551,Player 11,2022-05-03,Agility,9.0
552,Player 11,2022-05-04,Agility,5.0
553,Player 11,2022-05-05,Agility,4.0
554,Player 11,2022-05-06,Agility,4.0
555,Player 11,2022-05-09,Agility,4.0
556,Player 11,2022-05-10,Agility,6.0
557,Player 11,2022-05-11,Agility,6.0
558,Player 11,2022-05-12,Agility,3.0
559,Player 11,2022-05-13,Agility,8.0
560,Player 11,2022-05-16,Agility,3.0
561,Player 11,2022-05-17,Agility,10.0
562,Player 11,2022-05-18,Agility,10.0
563,Player 11,2022-05-19,Agility,3.0
564,Player 11,2022-05-20,Agility,9.0
565,Player 11,2022-05-23,Agility,6.0
566,Player 11,2022-05-24,Agility,9.0
567,Player 11,2022-05-25,Agility,10.0
568,Player 11,2022-05-26,Agility,4.0
569,Player 11,2022-05-27,Agility,4.0
570,Player 11,2022-05-30,Agility,4.0
571,Player 11,2022-05-31,Agility,6.0
572,Player 11,2022-06-01,Agility,4.0
573,Player 11,2022-06-02,Agility,8.0
574,Player 11,2022-06-03,Agility,8.0
575,Player 11,2022-06-06,Agility,9.0
576,Player 11,2022-06-07,Agility,5.0
577,Player 11,2022-06-08,Agility,9.0
578,Player 11,2022-06-10,Agility,7.0
579,Player 11,2022-06-13,Agility,3.0
580,Player 11,2022-06-14,Agility,6.0
581,Player 11,2022-06-15,Agility,3.0
582,Player 11,2022-06-16,Agility,3.0
583,Player 11,2022-06-17,Agility,3.0
584,Player 11,2022-06-21,Agility,5.0
585,Player 11,2022-06-22,Agility,5.0
586,Player 11,2022-06-23,Agility,4.0
587,Player 11,2022-06-24,Agility,10.0
588,Player 11,2022-06-27,Agility,10.0
589,Player 11,2022-06-28,Agility,3.0
590,Player 11,2022-06-29,Agility,4.0
591,Player 11,2022-06-30,Agility,4.0
592,Player 11,2022-07-01,Agility,4.0
593,Player 11,2022-07-04,Agility,10.0
594,Player 11,2022-07-05,Agility,10.0
595,Player 11,2022-07-06,Agility,10.0
596,Player 11,2022-07-07,Agility,4.0
597,Player 11,2022-07-08,Agility,5.0
598,Player 11,2022-07-11,Agility,5.0
599,Player 11,2022-07-12,Agility,8.0
600,Player 11,2022-07-13,Agility,8.0
601,Player 11,2022-07-14,Agility,4.0
602,Player 11,2022-07-15,Agility,7.0
603,Player 11,2022-07-18,Agility,4.0
604,Player 11,2022-07-19,Agility,4.0
605,Player 11,2022-07-20,Agility,6.0
606,Player 11,2022-07-22,Agility,6.0
607,Player 11,2022-07-25,Agility,8.0
608,Player 11,2022-07-26,Agility,8.0
609,Player 11,2022-07-27,Agility,8.0
610,Player 11,2022-07-28,Agility,8.0
611,Player 11,2022-07-29,Agility,4.0
612,Player 12,2021-08-02,Agility,6.0
613,Player 12,2021-08-03,Agility,7.0
614,Player 12,2021-08-04,Agility,7.0
615,Player 12,2021-08-09,Agility,7.0
616,Player 12,2021-08-10,Agility,7.0
617,Player 12,2021-08-11,Agility,7.0
618,Player 12,2021-08-13,Agility,7.0
619,Player 12,2021-08-17,Agility,7.0
620,Player 12,2021-08-18,Agility,5.0
621,Player 12,2021-08-19,Agility,10.0
622,Player 12,2021-08-20,Agility,10.0
623,Player 12,2021-08-23,Agility,9.0
624,Player 12,2021-08-24,Agility,8.0
625,Player 12,2021-08-27,Agility,8.0
626,Player 12,2021-08-30,Agility,8.0
627,Player 12,2021-08-31,Agility,8.0
628,Player 12,2021-09-01,Agility,8.0
629,Player 12,2021-09-03,Agility,8.0
630,Player 12,2021-09-07,Agility,8.0
631,Player 12,2021-09-09,Agility,7.0
632,Player 12,2021-09-10,Agility,6.0
633,Player 12,2021-09-13,Agility,7.0
634,Player 12,2021-09-14,Agility,8.0
