,Player,Session,Date,Score
128,Player 1,Strength Building,2022-07-06,6
129,Player 1,Strength Building,2022-07-08,6
130,Player 1,Strength Building,2022-07-11,8
131,Player 1,Strength Building,2022-07-13,6
132,Player 1,Strength Building,2022-07-14,8
133,Player 1,Strength Building,2022-07-18,10
134,Player 1,Strength Building,2022-07-20,8
135,Player 1,Strength Building,2022-07-21,5
136,Player 1,Strength Building,2022-07-22,3
137,Player 1,Strength Building,2022-07-25,8
138,Player 1,Strength Building,2022-07-26,7
139,Player 1,Strength Building,2022-07-27,8
140,Player 1,Strength Building,2022-07-28,6
141,Player 1,Strength Building,2022-07-29,5
142,Player 1,Agility,2022-01-04,8
143,Player 1,Agility,2022-01-06,8
144,Player 1,Agility,2022-01-10,4
145,Player 1,Agility,2022-01-12,9
146,Player 1,Agility,2022-01-14,3
147,Player 1,Agility,2022-01-17,8
148,Player 1,Agility,2022-01-19,5
149,Player 1,Agility,2022-01-20,3
150,Player 1,Agility,2022-01-21,3
151,Player 1,Agility,2022-01-24,6
152,Player 1,Agility,2022-01-25,7
153,Player 1,Agility,2022-01-26,7
154,Player 1,Agility,2022-01-31,9
155,Player 1,Agility,2022-02-01,5
156,Player 1,Agility,2022-02-02,6
157,Player 1,Agility,2022-02-07,9
158,Player 1,Agility,2022-02-08,3
159,Player 1,Agility,2022-02-09,3
160,Player 1,Agility,2022-02-11,5
161,Player 1,Agility,2022-02-14,4
162,Player 1,Agility,2022-02-15,4
163,Player 1,Agility,2022-02-16,3
164,Player 1,Agility,2022-02-23,6
165,Player 1,Agility,2022-02-24,4
166,Player 1,Agility,2022-02-25,7
167,Player 1,Agility,2022-03-01,4
168,Player 1,Agility,2022-03-02,10
169,Player 1,Agility,2022-03-04,3
170,Player 1,Agility,2022-03-07,5
171,Player 1,Agility,2022-03-08,9
172,Player 1,Agility,2022-03-09,9
173,Player 1,Agility,2022-03-10,3
174,Player 1,Agility,2022-03-14,9
175,Player 1,Agility,2022-03-15,9
176,Player 1,Agility,2022-03-16,8
177,Player 1,Agility,2022-03-18,8
178,Player 1,Agility,2022-03-21,8
179,Player 1,Agility,2022-03-22,6
180,Player 1,Agility,2022-03-23,8
181,Player 1,Agility,2022-03-24,4
182,Player 1,Agility,2022-03-28,6
183,Player 1,Agility,2022-03-30,3
184,Player 1,Agility,2022-03-31,7
185,Player 1,Agility,2022-04-04,6
186,Player 1,Agility,2022-04-05,7
187,Player 1,Agility,2022-04-06,4
188,Player 1,Agility,2022-04-08,8
189,Player 1,Agility,2022-04-14,7
190,Player 1,Agility,2022-04-15,4
191,Player 1,Agility,2022-04-18,7
192,Player 1,Agility,2022-04-19,6
193,Player 1,Agility,2022-04-20,8
194,Player 1,Agility,2022-04-22,10
195,Player 1,Agility,2022-04-26,8
196,Player 1,Agility,2022-04-27,9
197,Player 1,Agility,2022-04-28,4
198,Player 1,Agility,2022-04-29,4
199,Player 1,Agility,2022-05-06,8
200,Player 1,Agility,2022-05-09,3
201,Player 1,Agility,2022-05-10,9
202,Player 1,Agility,2022-05-13,3
203,Player 1,Agility,2022-05-16,6
204,Player 1,Agility,2022-05-19,4
205,Player 1,Agility,2022-05-23,9
206,Player 1,Agility,2022-05-25,3
207,Player 1,Agility,2022-05-26,8
208,Player 1,Agility,2022-05-30,5
209,Player 1,Agility,2022-05-31,7
210,Player 1,Agility,2022-06-01,8
211,Player 1,Agility,2022-06-02,10
212,Player 1,Agility,2022-06-06,8
213,Player 1,Agility,2022-06-07,8
214,Player 1,Agility,2022-06-08,3
215,Player 1,Agility,2022-06-09,5
216,Player 1,Agility,2022-06-10,9
217,Player 1,Agility,2022-06-16,7
218,Player 1,Agility,2022-06-17,5
219,Player 1,Agility,2022-06-20,8
220,Player 1,Agility,2022-06-21,9
221,Player 1,Agility,2022-06-22,7
222,Player 1,Agility,2022-06-24,4
223,Player 1,Agility,2022-06-27,7
224,Player 1,Agility,2022-06-30,4
225,Player 1,Agility,2022-07-01,9
226,Player 1,Agility,2022-07-04,6
227,Player 1,Agility,2022-07-07,5
228,Player 1,Agility,2022-07-11,9
229,Player 1,Agility,2022-07-12,6
230,Player 1,Agility,2022-07-14,8
231,Player 1,Agility,2022-07-15,10
232,Player 1,Agility,2022-07-18,8
233,Player 1,Agility,2022-07-20,10
234,Player 1,Agility,2022-07-21,7
235,Player 1,Agility,2022-07-25,10
236,Player 1,Agility,2022-07-26,6
237,Player 1,Agility,2022-07-27,8
238,Player 1,Agility,2022-07-28,5
239,Player 1,Agility,2022-07-29,6
240,Player 1,Cardio,2022-01-04,10
241,Player 1,Cardio,2022-01-06,10
242,Player 1,Cardio,2022-01-07,7
243,Player 1,Cardio,2022-01-10,3
244,Player 1,Cardio,2022-01-11,7
245,Player 1,Cardio,2022-01-17,8
246,Player 1,Cardio,2022-01-18,8
247,Player 1,Cardio,2022-01-20,6
248,Player 1,Cardio,2022-01-24,3
249,Player 1,Cardio,2022-01-26,4
250,Player 1,Cardio,2022-01-31,8
251,Player 1,Cardio,2022-02-02,6
252,Player 1,Cardio,2022-02-03,10
253,Player 1,Cardio,2022-02-04,8
254,Player 1,Cardio,2022-02-09,7
255,Player 1,Cardio,2022-02-10,9
256,Player 1,Cardio,2022-02-11,9
257,Player 1,Cardio,2022-02-14,7
258,Player 1,Cardio,2022-02-15,8
259,Player 1,Cardio,2022-02-17,8
260,Player 1,Cardio,2022-02-18,10
261,Player 1,Cardio,2022-02-21,6
262,Player 1,Cardio,2022-02-23,9
263,Player 1,Cardio,2022-02-24,5
264,Player 1,Cardio,2022-02-25,3
265,Player 1,Cardio,2022-03-01,5
266,Player 1,Cardio,2022-03-03,3
267,Player 1,Cardio,2022-03-09,8
268,Player 1,Cardio,2022-03-11,9
269,Player 1,Cardio,2022-03-15,5
270,Player 1,Cardio,2022-03-17,9
271,Player 1,Cardio,2022-03-18,10
272,Player 1,Cardio,2022-03-21,3
273,Player 1,Cardio,2022-03-28,5
274,Player 1,Cardio,2022-03-29,8
275,Player 1,Cardio,2022-03-30,3
276,Player 1,Cardio,2022-03-31,6
277,Player 1,Cardio,2022-04-01,7
278,Player 1,Cardio,2022-04-04,8
279,Player 1,Cardio,2022-04-05,4
280,Player 1,Cardio,2022-04-06,9
281,Player 1,Cardio,2022-04-07,10
282,Player 1,Cardio,2022-04-08,5
283,Player 1,Cardio,2022-04-15,3
284,Player 1,Cardio,2022-04-18,3
285,Player 1,Cardio,2022-04-20,6
286,Player 1,Cardio,2022-04-21,6
287,Player 1,Cardio,2022-04-22,3
288,Player 1,Cardio,2022-04-25,4
289,Player 1,Cardio,2022-04-29,9
290,Player 1,Cardio,2022-05-03,6
291,Player 1,Cardio,2022-05-06,7
292,Player 1,Cardio,2022-05-09,7
293,Player 1,Cardio,2022-05-12,8
294,Player 1,Cardio,2022-05-13,9
295,Player 1,Cardio,2022-05-16,10
296,Player 1,Cardio,2022-05-17,3
297,Player 1,Cardio,2022-05-20,4
298,Player 1,Cardio,2022-05-23,9
299,Player 1,Cardio,2022-05-24,7
300,Player 1,Cardio,2022-05-26,8
301,Player 1,Cardio,2022-05-31,10
302,Player 1,Cardio,2022-06-01,3
303,Player 1,Cardio,2022-06-02,6
304,Player 1,Cardio,2022-06-03,3
305,Player 1,Cardio,2022-06-06,6
306,Player 1,Cardio,2022-06-07,4
307,Player 1,Cardio,2022-06-08,10
308,Player 1,Cardio,2022-06-09,4
309,Player 1,Cardio,2022-06-13,9
310,Player 1,Cardio,2022-06-14,6
311,Player 1,Cardio,2022-06-21,7
312,Player 1,Cardio,2022-06-22,4
313,Player 1,Cardio,2022-06-23,10
314,Player 1,Cardio,2022-06-24,6
315,Player 1,Cardio,2022-06-27,7
316,Player 1,Cardio,2022-06-28,9
317,Player 1,Cardio,2022-06-29,8
318,Player 1,Cardio,2022-07-01,6
319,Player 1,Cardio,2022-07-05,8
320,Player 1,Cardio,2022-07-06,8
321,Player 1,Cardio,2022-07-08,10
322,Player 1,Cardio,2022-07-11,5
323,Player 1,Cardio,2022-07-13,9
324,Player 1,Cardio,2022-07-14,7
325,Player 1,Cardio,2022-07-18,3
326,Player 1,Cardio,2022-07-19,8
327,Player 1,Cardio,2022-07-20,6
328,Player 1,Cardio,2022-07-21,9
329,Player 1,Cardio,2022-07-22,8
330,Player 1,Cardio,2022-07-25,8
331,Player 1,Cardio,2022-07-28,6
332,Player 2,Strength Building,2022-01-04,8
333,Player 2,Strength Building,2022-01-05,7
334,Player 2,Strength Building,2022-01-06,5
335,Player 2,Strength Building,2022-01-10,9
336,Player 2,Strength Building,2022-01-11,5
337,Player 2,Strength Building,2022-01-12,4
338,Player 2,Strength Building,2022-01-13,3
339,Player 2,Strength Building,2022-01-14,10
340,Player 2,Strength Building,2022-01-17,4
341,Player 2,Strength Building,2022-01-18,7
342,Player 2,Strength Building,2022-01-19,4
343,Player 2,Strength Building,2022-01-20,10
344,Player 2,Strength Building,2022-01-21,9
345,Player 2,Strength Building,2022-01-24,8
346,Player 2,Strength Building,2022-01-26,10
347,Player 2,Strength Building,2022-01-28,6
348,Player 2,Strength Building,2022-01-31,3
349,Player 2,Strength Building,2022-02-01,6
350,Player 2,Strength Building,2022-02-02,3
351,Player 2,Strength Building,2022-02-03,4
352,Player 2,Strength Building,2022-02-04,9
353,Player 2,Strength Building,2022-02-09,9
354,Player 2,Strength Building,2022-02-10,6
355,Player 2,Strength Building,2022-02-11,4
356,Player 2,Strength Building,2022-02-17,8
357,Player 2,Strength Building,2022-02-18,7
358,Player 2,Strength Building,2022-02-21,5
359,Player 2,Strength Building,2022-02-24,6
360,Player 2,Strength Building,2022-02-25,3
361,Player 2,Strength Building,2022-03-04,5
362,Player 2,Strength Building,2022-03-07,6
363,Player 2,Strength Building,2022-03-08,10
364,Player 2,Strength Building,2022-03-10,9
365,Player 2,Strength Building,2022-03-14,5
366,Player 2,Strength Building,2022-03-15,7
367,Player 2,Strength Building,2022-03-17,7
368,Player 2,Strength Building,2022-03-18,4
369,Player 2,Strength Building,2022-03-22,7
370,Player 2,Strength Building,2022-03-23,3
371,Player 2,Strength Building,2022-03-24,7
372,Player 2,Strength Building,2022-03-25,8
373,Player 2,Strength Building,2022-03-28,6
374,Player 2,Strength Building,2022-03-29,8
375,Player 2,Strength Building,2022-04-05,6
376,Player 2,Strength Building,2022-04-06,8
377,Player 2,Strength Building,2022-04-07,7
378,Player 2,Strength Building,2022-04-08,4
379,Player 2,Strength Building,2022-04-13,3
380,Player 2,Strength Building,2022-04-14,3
381,Player 2,Strength Building,2022-04-15,7
382,Player 2,Strength Building,2022-04-18,8
383,Player 2,Strength Building,2022-04-19,8
384,Player 2,Strength Building,2022-04-21,10
385,Player 2,Strength Building,2022-04-25,3
386,Player 2,Strength Building,2022-04-26,4
387,Player 2,Strength Building,2022-04-27,3
388,Player 2,Strength Building,2022-04-28,7
389,Player 2,Strength Building,2022-05-02,4
390,Player 2,Strength Building,2022-05-04,9
391,Player 2,Strength Building,2022-05-05,10
392,Player 2,Strength Building,2022-05-09,6
393,Player 2,Strength Building,2022-05-10,9
394,Player 2,Strength Building,2022-05-11,4
395,Player 2,Strength Building,2022-05-16,5
396,Player 2,Strength Building,2022-05-17,9
397,Player 2,Strength Building,2022-05-20,9
398,Player 2,Strength Building,2022-05-23,3
399,Player 2,Strength Building,2022-05-24,6
400,Player 2,Strength Building,2022-05-25,3
401,Player 2,Strength Building,2022-05-26,5
402,Player 2,Strength Building,2022-05-27,8
403,Player 2,Strength Building,2022-05-30,6
404,Player 2,Strength Building,2022-06-03,6
405,Player 2,Strength Building,2022-06-06,3
406,Player 2,Strength Building,2022-06-09,6
407,Player 2,Strength Building,2022-06-10,6
408,Player 2,Strength Building,2022-06-15,3
409,Player 2,Strength Building,2022-06-16,4
410,Player 2,Strength Building,2022-06-17,7
411,Player 2,Strength Building,2022-06-23,7
412,Player 2,Strength Building,2022-06-24,5
413,Player 2,Strength Building,2022-06-27,10
414,Player 2,Strength Building,2022-06-28,6
415,Player 2,Strength Building,2022-06-29,5
416,Player 2,Strength Building,2022-07-01,5
417,Player 2,Strength Building,2022-07-05,6
418,Player 2,Strength Building,2022-07-07,9
419,Player 2,Strength Building,2022-07-08,6
420,Player 2,Strength Building,2022-07-12,10
421,Player 2,Strength Building,2022-07-14,7
422,Player 2,Strength Building,2022-07-15,8
423,Player 2,Strength Building,2022-07-19,4
424,Player 2,Strength Building,2022-07-20,4
425,Player 2,Strength Building,2022-07-21,9
426,Player 2,Strength Building,2022-07-22,4
427,Player 2,Strength Building,2022-07-25,3
428,Player 2,Strength Building,2022-07-27,10
429,Player 2,Strength Building,2022-07-28,5
430,Player 2,Strength Building,2022-07-29,7
431,Player 2,Agility,2022-01-04,5
432,Player 2,Agility,2022-01-05,5
433,Player 2,Agility,2022-01-06,9
434,Player 2,Agility,2022-01-07,10
435,Player 2,Agility,2022-01-12,5
436,Player 2,Agility,2022-01-13,7
437,Player 2,Agility,2022-01-17,9
438,Player 2,Agility,2022-01-18,10
439,Player 2,Agility,2022-01-19,6
440,Player 2,Agility,2022-01-24,4
441,Player 2,Agility,2022-01-25,10
442,Player 2,Agility,2022-01-26,3
443,Player 2,Agility,2022-01-27,5
444,Player 2,Agility,2022-02-01,8
445,Player 2,Agility,2022-02-02,6
446,Player 2,Agility,2022-02-03,6
447,Player 2,Agility,2022-02-07,6
448,Player 2,Agility,2022-02-08,9
449,Player 2,Agility,2022-02-09,6
450,Player 2,Agility,2022-02-11,6
451,Player 2,Agility,2022-02-14,3
452,Player 2,Agility,2022-02-16,7
453,Player 2,Agility,2022-02-17,6
454,Player 2,Agility,2022-02-21,6
455,Player 2,Agility,2022-02-24,4
456,Player 2,Agility,2022-02-25,3
457,Player 2,Agility,2022-02-28,9
458,Player 2,Agility,2022-03-01,6
459,Player 2,Agility,2022-03-02,5
460,Player 2,Agility,2022-03-03,10
461,Player 2,Agility,2022-03-04,7
462,Player 2,Agility,2022-03-07,5
463,Player 2,Agility,2022-03-08,9
464,Player 2,Agility,2022-03-10,6
465,Player 2,Agility,2022-03-11,8
466,Player 2,Agility,2022-03-14,3
467,Player 2,Agility,2022-03-15,6
468,Player 2,Agility,2022-03-16,6
469,Player 2,Agility,2022-03-17,8
470,Player 2,Agility,2022-03-18,7
471,Player 2,Agility,2022-03-22,4
472,Player 2,Agility,2022-03-24,10
473,Player 2,Agility,2022-03-25,6
474,Player 2,Agility,2022-03-29,8
475,Player 2,Agility,2022-03-30,9
476,Player 2,Agility,2022-04-01,3
477,Player 2,Agility,2022-04-04,8
478,Player 2,Agility,2022-04-05,9
479,Player 2,Agility,2022-04-07,3
480,Player 2,Agility,2022-04-08,6
481,Player 2,Agility,2022-04-11,7
482,Player 2,Agility,2022-04-12,3
483,Player 2,Agility,2022-04-13,10
484,Player 2,Agility,2022-04-14,4
485,Player 2,Agility,2022-04-15,3
486,Player 2,Agility,2022-04-18,3
487,Player 2,Agility,2022-04-19,10
488,Player 2,Agility,2022-04-20,7
489,Player 2,Agility,2022-04-21,10
490,Player 2,Agility,2022-04-22,9
491,Player 2,Agility,2022-04-25,9
492,Player 2,Agility,2022-04-26,5
493,Player 2,Agility,2022-04-27,8
494,Player 2,Agility,2022-04-28,8
495,Player 2,Agility,2022-04-29,3
496,Player 2,Agility,2022-05-04,4
497,Player 2,Agility,2022-05-05,8
498,Player 2,Agility,2022-05-06,4
499,Player 2,Agility,2022-05-10,7
500,Player 2,Agility,2022-05-11,8
501,Player 2,Agility,2022-05-12,4
502,Player 2,Agility,2022-05-13,3
503,Player 2,Agility,2022-05-16,8
504,Player 2,Agility,2022-05-17,8
505,Player 2,Agility,2022-05-19,9
506,Player 2,Agility,2022-05-23,7
507,Player 2,Agility,2022-05-25,10
508,Player 2,Agility,2022-05-26,6
509,Player 2,Agility,2022-05-31,9
510,Player 2,Agility,2022-06-02,4
511,Player 2,Agility,2022-06-03,4
512,Player 2,Agility,2022-06-06,10
513,Player 2,Agility,2022-06-07,10
514,Player 2,Agility,2022-06-10,8
515,Player 2,Agility,2022-06-13,3
516,Player 2,Agility,2022-06-14,10
517,Player 2,Agility,2022-06-15,10
518,Player 2,Agility,2022-06-17,4
519,Player 2,Agility,2022-06-20,9
520,Player 2,Agility,2022-06-22,4
521,Player 2,Agility,2022-06-23,10
522,Player 2,Agility,2022-06-24,5
523,Player 2,Agility,2022-06-28,9
524,Player 2,Agility,2022-06-29,9
525,Player 2,Agility,2022-06-30,4
526,Player 2,Agility,2022-07-01,10
527,Player 2,Agility,2022-07-05,8
528,Player 2,Agility,2022-07-07,7
529,Player 2,Agility,2022-07-11,3
530,Player 2,Agility,2022-07-12,3
531,Player 2,Agility,2022-07-13,8
532,Player 2,Agility,2022-07-14,6
533,Player 2,Agility,2022-07-15,4
534,Player 2,Agility,2022-07-28,5
535,Player 2,Cardio,2022-01-05,9
536,Player 2,Cardio,2022-01-06,10
537,Player 2,Cardio,2022-01-10,3
538,Player 2,Cardio,2022-01-11,8
539,Player 2,Cardio,2022-01-12,9
540,Player 2,Cardio,2022-01-13,4
541,Player 2,Cardio,2022-01-14,8
542,Player 2,Cardio,2022-01-17,4
543,Player 2,Cardio,2022-01-19,10
544,Player 2,Cardio,2022-01-20,10
545,Player 2,Cardio,2022-01-21,6
546,Player 2,Cardio,2022-01-24,7
547,Player 2,Cardio,2022-01-25,4
548,Player 2,Cardio,2022-01-26,7
549,Player 2,Cardio,2022-01-31,9
550,Player 2,Cardio,2022-02-01,6
551,Player 2,Cardio,2022-02-03,6
552,Player 2,Cardio,2022-02-04,9
553,Player 2,Cardio,2022-02-07,10
554,Player 2,Cardio,2022-02-08,3
555,Player 2,Cardio,2022-02-10,3
556,Player 2,Cardio,2022-02-14,9
557,Player 2,Cardio,2022-02-15,3
558,Player 2,Cardio,2022-02-17,4
559,Player 2,Cardio,2022-02-18,8
560,Player 2,Cardio,2022-02-22,6
561,Player 2,Cardio,2022-02-23,5
562,Player 2,Cardio,2022-03-02,10
563,Player 2,Cardio,2022-03-04,8
564,Player 2,Cardio,2022-03-07,4
565,Player 2,Cardio,2022-03-08,6
566,Player 2,Cardio,2022-03-10,4
567,Player 2,Cardio,2022-03-11,3
568,Player 2,Cardio,2022-03-15,3
569,Player 2,Cardio,2022-03-17,10
570,Player 2,Cardio,2022-03-21,5
571,Player 2,Cardio,2022-03-22,5
572,Player 2,Cardio,2022-03-23,4
573,Player 2,Cardio,2022-03-24,8
574,Player 2,Cardio,2022-03-25,5
575,Player 2,Cardio,2022-03-28,7
576,Player 2,Cardio,2022-03-29,6
577,Player 2,Cardio,2022-04-04,6
578,Player 2,Cardio,2022-04-05,6
579,Player 2,Cardio,2022-04-06,6
580,Player 2,Cardio,2022-04-07,5
581,Player 2,Cardio,2022-04-08,6
582,Player 2,Cardio,2022-04-11,3
583,Player 2,Cardio,2022-04-18,4
584,Player 2,Cardio,2022-04-19,9
585,Player 2,Cardio,2022-04-20,10
586,Player 2,Cardio,2022-04-22,5
587,Player 2,Cardio,2022-04-25,8
588,Player 2,Cardio,2022-04-26,7
589,Player 2,Cardio,2022-04-27,7
590,Player 2,Cardio,2022-04-29,7
591,Player 2,Cardio,2022-05-02,4
592,Player 2,Cardio,2022-05-04,6
593,Player 2,Cardio,2022-05-05,8
594,Player 2,Cardio,2022-05-09,3
595,Player 2,Cardio,2022-05-10,10
596,Player 2,Cardio,2022-05-12,5
597,Player 2,Cardio,2022-05-16,4
598,Player 2,Cardio,2022-05-24,6
599,Player 2,Cardio,2022-05-25,10
600,Player 2,Cardio,2022-05-26,7
601,Player 2,Cardio,2022-05-27,4
602,Player 2,Cardio,2022-05-30,5
603,Player 2,Cardio,2022-06-03,8
604,Player 2,Cardio,2022-06-06,5
605,Player 2,Cardio,2022-06-07,7
606,Player 2,Cardio,2022-06-08,4
607,Player 2,Cardio,2022-06-09,7
608,Player 2,Cardio,2022-06-10,7
609,Player 2,Cardio,2022-06-13,5
610,Player 2,Cardio,2022-06-14,3
611,Player 2,Cardio,2022-06-17,3
612,Player 2,Cardio,2022-06-20,3
613,Player 2,Cardio,2022-06-21,5
614,Player 2,Cardio,2022-06-22,5
615,Player 2,Cardio,2022-06-23,5
616,Player 2,Cardio,2022-06-27,3
617,Player 2,Cardio,2022-06-29,10
618,Player 2,Cardio,2022-06-30,4
619,Player 2,Cardio,2022-07-01,6
620,Player 2,Cardio,2022-07-04,4
621,Player 2,Cardio,2022-07-05,3
622,Player 2,Cardio,2022-07-06,3
623,Player 2,Cardio,2022-07-07,9
624,Player 2,Cardio,2022-07-08,9
625,Player 2,Cardio,2022-07-11,7
626,Player 2,Cardio,2022-07-12,5
627,Player 2,Cardio,2022-07-13,3
628,Player 2,Cardio,2022-07-14,8
629,Player 2,Cardio,2022-07-18,6
630,Player 2,Cardio,2022-07-19,9
631,Player 2,Cardio,2022-07-22,5
632,Player 2,Cardio,2022-07-26,8
633,Player 2,Cardio,2022-07-28,5
634,Player 3,Strength Building,2022-01-04,5
635,Player 3,Strength Building,2022-01-06,3
636,Player 3,Strength Building,2022-01-10,10
637,Player 3,Strength Building,2022-01-11,9
638,Player 3,Strength Building,2022-01-12,4
639,Player 3,Strength Building,2022-01-13,10
640,Player 3,Strength Building,2022-01-17,5
641,Player 3,Strength Building,2022-01-19,7
642,Player 3,Strength Building,2022-01-24,3
643,Player 3,Strength Building,2022-01-26,7
644,Player 3,Strength Building,2022-01-28,8
645,Player 3,Strength Building,2022-01-31,5
646,Player 3,Strength Building,2022-02-01,3
647,Player 3,Strength Building,2022-02-03,6
648,Player 3,Strength Building,2022-02-04,9
649,Player 3,Strength Building,2022-02-07,5
650,Player 3,Strength Building,2022-02-08,10
651,Player 3,Strength Building,2022-02-09,3
652,Player 3,Strength Building,2022-02-11,4
653,Player 3,Strength Building,2022-02-14,8
654,Player 3,Strength Building,2022-02-15,4
655,Player 3,Strength Building,2022-02-16,7
656,Player 3,Strength Building,2022-02-17,8
657,Player 3,Strength Building,2022-02-22,4
658,Player 3,Strength Building,2022-02-24,7
659,Player 3,Strength Building,2022-02-25,4
660,Player 3,Strength Building,2022-02-28,5
661,Player 3,Strength Building,2022-03-02,7
662,Player 3,Strength Building,2022-03-08,6
663,Player 3,Strength Building,2022-03-09,4
